"ip","finger","hash","name","race","background","date","class","justClass","subclass","level","feats","HP","AC","Str","Dex","Con","Int","Wis","Cha","alignment","skills","weapons","spells","castingStat","choices","country","countryCode","processedAlignment","good","lawful","processedRace","processedSpells","processedWeapons","levelGroup","alias"
"c24c2d4","b99eac2","6b6f7e15cbb4a7e3394ff2e6f34a3a14","2647e28","Human Variant","Haunted One",2019-08-24 20:38:21,"Monk 3","Monk","Way of the Sun Soul",3,NA,38,15,17,16,18,10,14,10,"Chaotic Good","Arcana|Investigation|Insight|Perception|Survival","Halberd|Crossbow, hand",NA,"Int",NA,"United States","US","CG",NA,NA,"Human",NA,"Halberd|Crossbow, hand","1-3","cocky_wing"
"c24c2d4","b99eac2","49194f23ced5210db05a83faedd582c5","2647e28","Human Variant","Haunted One",2019-08-24 20:36:33,"Monk 3","Monk","Way of the Sun Soul",3,NA,38,15,17,16,18,10,14,10,"Chaotic Good","Arcana|Investigation|Insight|Perception|Survival","Halberd|Crossbow, hand",NA,"Int",NA,"United States","US","CG",NA,NA,"Human",NA,"Halberd|Crossbow, hand","1-3","cocky_wing"
"c24c2d4","b99eac2","93792dd962dde9cdb8ee5d28ec2d2c2f","2647e28","Human Variant","Haunted One",2019-08-24 20:33:40,"Monk 3","Monk","Way of the Sun Soul",3,NA,38,15,17,16,18,10,14,10,"Chaotic Good","Arcana|Investigation|Insight|Perception|Survival","Halberd|Crossbow, hand",NA,"Int",NA,"United States","US","CG",NA,NA,"Human",NA,"Halberd|Crossbow, hand","1-3","cocky_wing"
"3587dc7","97b6484","993bd440b9776deffed3868de5524062","b360335","Tiefling","Entertainer",2019-08-24 18:17:21,"Sorcerer 5","Sorcerer","Draconic Bloodline",5,NA,41,14,7,13,16,11,11,18,"NG","Acrobatics|Arcana|Insight|Performance","Crossbow, light|Dagger",NA,"Cha","metamagic/Quickened Spell*Empowered Spell","United States","US","NG",NA,NA,"Tiefling",NA,"Crossbow, Light|Dagger","4-7","gracious_sinoussi"
"11e9c35",NA,"a47187303224ce9fd124165176dd2b19","c4e936f","Wood Elf","Outlander",2019-08-24 16:20:59,"Druid 8","Druid","Circle of the Moon",8,"Dungeon Delver|War Caster",43,12,9,12,13,15,18,14,"lawful neitral","Athletics|Nature|Animal Handling|Perception|Survival","Shortbow|Quarterstaff","Shillelagh*0|Druidcraft*0|Thunderclap*0|Goodberry*1|Thunderwave*1|Healing Word*1|Detect Poison And Disease*1|Animal Friendship*1|Healing Spirit*2|Darkvision*2|Pass Without Trace*2|Flame Blade*2|Protection From Poison*2|Lesser Restoration*2|Call Lightning*3|Conjure Animals*3|Water Walk*3|Wind Wall*3|Confusion*4|Ice Storm*4","Wis",NA,"United States","US","LN",NA,NA,"Elf","Shillelagh*0|Druidcraft*0|Thunderclap*0|Goodberry*1|Thunderwave*1|Healing Word*1|Detect Poison and Disease*1|Animal Friendship*1|Healing Spirit*2|Darkvision*2|Pass Without Trace*2|Flame Blade*2|Protection from Poison*2|Lesser Restoration*2|Call Lightning*3|Conjure Animals*3|Water Walk*3|Wind Wall*3|Confusion*4|Ice Storm*4","Shortbow|Quarterstaff","8-11","sleepy_bassi"
"47b5118","cc7a31d","d7433089a2b9fdfcd668f22648b975f1","5ee4dbc","Half-Elf","Entertainer",2019-08-24 13:10:35,"Bard 3","Bard","College of Valor",3,NA,25,11,10,13,12,10,10,16,NA,"Acrobatics|Perception|Deception|Intimidation|Performance|Persuasion","Quarterstaff|Dagger",NA,"Cha","expertise/Persuasion*Intimidation","United States","US",NA,NA,NA,"Half-Elf",NA,"Quarterstaff|Dagger","1-3","awesome_rubin"
"eb0cb1b","289b0e0","e57b28c6e5a6a875b8b828de96dd11f5","906ff3e","Tabaxi","Outlander",2019-08-24 12:54:33,"Druid 5","Druid","Circle of the Moon",5,NA,50,16,20,20,21,20,21,19,NA,"Athletics|Stealth|Animal Handling|Insight|Perception|Survival","Dart|Quarterstaff",NA,"Wis",NA,"United States","US",NA,NA,NA,"Tabaxi",NA,"Dart|Quarterstaff","4-7","thirsty_swanson"
"eb0cb1b","289b0e0","87e5bda8010df76381e584371daca5f4","6e27ad5","Lightfoot Halfling","Sailor",2019-08-24 12:27:19,"Rogue 6","Rogue","Assassin",6,"Lucky",66,17,17,22,20,16,17,19,NA,"Athletics|Sleight of Hand|Stealth|Investigation|Perception|Persuasion","Shortsword|Shortsword|Dagger",NA,"Int","expertise/Stealth*Perception*Sleight of Hand*Athletics","United States","US",NA,NA,NA,"Halfling",NA,"Shortsword|Shortsword|Dagger","4-7","xenodochial_noyce"
"6d7aff0","cecbba1","4d40bb0f4469479a605c2a49b647f946","06c6d29","Human","Sailor",2019-08-24 12:27:14,"Barbarian 4","Barbarian","Path of the Berserker",4,"Great Weapon Master",41,13,18,12,14,9,13,14,"Chaotic Neutral","Athletics|Animal Handling|Perception|Survival|Intimidation","Greataxe|Handaxe|Javelin",NA,"Int",NA,"Costa Rica","CR","CN",NA,NA,"Human",NA,"Greataxe|Handaxe|Javelin","4-7","compassionate_ishizaka"
"310dd4d","cecbba1","64208cc4f6e8401e86759d98560b2ed3","d10f05b","Tabaxi","Hermit",2019-08-24 12:05:41,"Monk 4","Monk","Way of the Drunken Master",4,NA,31,18,6,20,12,10,16,12,"caotica buena","Acrobatics|Stealth|Religion|Insight|Medicine|Perception|Performance","Shortsword|Dart|Unarmed strike",NA,"Int",NA,"Costa Rica","CR","CG",NA,NA,"Tabaxi",NA,"Shortsword|Dart|Unarmed Strike","4-7","happy_banach"
"5959af7",NA,"412e4b0fec5a6a4c6d998842536a2559","2797c48","Protector Aasimar","Sage",2019-08-24 10:16:31,"Warlock 3|Sorcerer 1","Warlock|Sorcerer","The Celestial|Divine Soul",4,NA,38,16,11,16,19,15,14,20,NA,"Arcana|History|Investigation|Religion","Dagger|Dagger|Dagger","Light*0|Sacred Flame*0|Bless*1","Cha","pact boon/Pact of the Tome|eldritch invocations/Agonizing Blast*Book of Ancient Secrets","United States","US",NA,NA,NA,"Aasimar","Light*0|Sacred Flame*0|Bless*1","Dagger|Dagger|Dagger","4-7","quizzical_antonelli"
NA,"362a3d0","a6b403feec8377536af7a05b33b3d172","596e040","Human","Haunted One",2019-08-23 23:32:56,"Warlock 1","Warlock","The Hexblade",1,"War Caster",9,11,10,10,16,6,8,18,NA,"Arcana|Investigation|Survival|Deception|Intimidation","Quarterstaff|Handaxe|Dagger",NA,"Cha",NA,"Canada","CA",NA,NA,NA,"Human",NA,"Quarterstaff|Handaxe|Dagger","1-3","laughing_haslett"
NA,"298b936","4f88384a848cd52221dd1abe33e77e06","ca5ba0b","Tabaxi","Fisher",2019-08-23 20:51:42,"Fighter 5","Fighter","Arcane Archer",5,NA,44,16,10,18,14,10,12,14,NA,"Acrobatics|Stealth|Arcana|History|Perception|Survival|Intimidation","Longbow|Scimitar|Scimitar|Crossbow, light","Prestidigitation*0","Int","fighting style/Archery|arcane shot options/Grasping Arrow*Bursting Arrow","Canada","CA",NA,NA,NA,"Tabaxi","Prestidigitation*0","Longbow|Scimitar|Scimitar|Crossbow, Light","4-7","determined_buck"
"8b723e7","cdc104d","00b64022ac65b9fa2c1ce626b4aa057a","2f3f719","Wood Elf","Far Traveler",2019-08-23 18:15:18,"Wizard 4","Wizard","Bladesinging",4,NA,26,12,11,15,15,10,15,14,"Lawful Good","Arcana|Insight|Medicine|Perception|Performance","Dagger|Handaxe|Shortsword","Firebolt*0|Blade Ward*0|Mending*0|Sword Burst*0|Magic Missile*1|Unseen Servant*1|Detect Magic*1|Witchbolt*1|Detect Magic*2|Cloud Of Daggers*2|Aganazzar's Scorcher *2","Int",NA,"United States","US","LG",NA,NA,"Elf","Fire Bolt*0|Blade Ward*0|Mending*0|Sword Burst*0|Magic Missile*1|Unseen Servant*1|Detect Magic*1|Witch Bolt*1|*|Cloud of Daggers*2|Aganazzar's Scorcher*2","Dagger|Handaxe|Shortsword","4-7","determined_margulis"
"a8cd072","ad849cf","e519aa9f2c2869ea5a86be16e21dae59","122090e","Human","Custom",2019-08-23 17:34:56,"Wizard 3","Wizard","School of Transmutation",3,"Prodigy",18,11,10,13,11,20,16,13,NA,"Arcana|History|Investigation|Religion|Insight|Perception","Quarterstaff",NA,"Int","expertise/Arcana","United States","US",NA,NA,NA,"Human",NA,"Quarterstaff","1-3","trusting_johnson"
"74739c2","1a7af2a","bf376509fee027050c978dde88776167","f2107b1","Mountain Dwarf","Barbarian Tribe Member",2019-08-23 10:40:36,"Barbarian 3","Barbarian","Path of the Berserker",3,NA,45,14,17,13,16,10,12,8,NA,"Athletics|Nature|Animal Handling|Survival","Greataxe|Handaxe|Javelin",NA,"Int",NA,"Israel","IL",NA,NA,NA,"Dwarf",NA,"Greataxe|Handaxe|Javelin","1-3","trusting_galileo"
"74739c2","1a7af2a","c2cae8a6b570324af28a2820823c2608","b48dfae","Dragonborn","Far Traveler",2019-08-23 10:40:15,"Warlock 3","Warlock","The Celestial",3,NA,30,12,10,12,14,10,13,16,NA,"Arcana|Investigation|Insight|Perception","Crossbow, light|Dagger","Light*0|Sacred Flame*0|Eldritch Blast*0|Mage Hand*0|Guiding Bolt*1|Cure Wounds*1|Suggestion*2|Darkness*2","Cha","pact boon/Pact of the Chain|eldritch invocations/Mask of Many Faces*Gaze of Two Minds","Israel","IL",NA,NA,NA,"Dragonborn","Light*0|Sacred Flame*0|Eldritch Blast*0|Mage Hand*0|Guiding Bolt*1|Cure Wounds*1|Suggestion*2|Darkness*2","Crossbow, Light|Dagger","1-3","cranky_ishizaka"
"74739c2","1a7af2a","140be01320468c6073be80133bcb61bf","35c7664","Wood Elf","Outlander",2019-08-23 10:39:57,"Ranger 3","Ranger","Hunter",3,NA,27,17,13,17,8,12,15,10,NA,"Athletics|Investigation|Nature|Perception|Survival","Shortsword|Longbow","Animal Friendship*1|Hunter's Mark*1|Jump*1","Wis","fighting style/Defense","Israel","IL",NA,NA,NA,"Elf","Animal Friendship*1|Hunter's Mark*1|Jump*1","Shortsword|Longbow","1-3","cranky_poitras"
"74739c2","1a7af2a","e6c7f93b1caee1cb102d77766464027c","bc9a2bd","Tiefling","Sage",2019-08-23 10:39:41,"Wizard 3","Wizard","School of Evocation",3,NA,18,12,12,14,10,16,8,15,NA,"Arcana|History|Investigation|Insight","Dagger","Thaumaturgy*0|Fire Bolt*0|Message*0|Ray Of Frost*0|Light*0|Hellish Rebuke*1|Unseen Servant*1|Chromatic Orb*1|Feather Fall*1|Comprehend Languages*1|Identify*1|Sleep*1|Expeditious Retreat*1|Detect Thoughts*2|Knock*2|Enlarge/Reduce*2","Int",NA,"Israel","IL",NA,NA,NA,"Tiefling","Thaumaturgy*0|Fire Bolt*0|Message*0|Ray of Frost*0|Light*0|Hellish Rebuke*1|Unseen Servant*1|Chromatic Orb*1|Feather Fall*1|Comprehend Languages*1|Identify*1|Sleep*1|Expeditious Retreat*1|Detect Thoughts*2|Knock*2|Enlarge/Reduce*2","Dagger","1-3","objective_chebyshev"
"74739c2","1a7af2a","0045a9a295910f9341d014ce379fce78","7b57635","Rock Gnome","Entertainer",2019-08-23 10:39:25,"Bard 3","Bard","College of Glamour",3,NA,27,13,10,14,13,10,13,15,NA,"Acrobatics|Arcana|Perception|Performance|Persuasion","Rapier|Dagger","Prestidigitation*0|Vicious Mockery*0|Comprehend Languages*1|Charm Person*1|Tasha's Hideous Laughter*1|Thunderwave*1|Cure Wounds*1","Cha","expertise/Persuasion*Performance","Israel","IL",NA,NA,NA,"Gnome","Prestidigitation*0|Vicious Mockery*0|Comprehend Languages*1|Charm Person*1|Tasha's Hideous Laughter*1|Thunderwave*1|Cure Wounds*1","Rapier|Dagger","1-3","mystifying_hopper"
"74739c2","1a7af2a","73d68488def846c8aa021022b0de17ca","a74b95f","Dark Elf","Sage",2019-08-23 10:38:58,"Paladin 3","Paladin","Oath of Devotion",3,NA,30,18,15,10,10,12,13,15,NA,"Athletics|Arcana|History|Perception|Persuasion","Warhammer|Dagger","Dancing Lights*0|Protection from Evil and Good*1|Sanctuary*1","Cha","fighting style/Protection","Israel","IL",NA,NA,NA,"Elf","Dancing Lights*0|Protection from Evil and Good*1|Sanctuary*1","Warhammer|Dagger","1-3","practical_moser"
"2462587","1ad84d9","8e407ed743f03ed8e06c9dc6a4a29e97","a3c1e73","Lightfoot Halfling","Criminal",2019-08-23 03:38:40,"Rogue 6","Rogue","Thief",6,NA,40,16,8,18,12,13,10,16,"Chaotic Neutral (evil)","Acrobatics|Sleight of Hand|Stealth|Investigation|Deception|Performance","Shortsword (SmokeandFire)|Shortbow|Crossbow, light|Scimitar|Dagger",NA,"Int","expertise/Stealth","Republic of Lithuania","LT",NA,NA,NA,"Halfling",NA,"Shortsword|Shortbow|Crossbow, Light|Scimitar|Dagger","4-7","suspicious_dewdney"
"f5b217f","1039c7d","0f0d5853c1362deef19c73e5bba65b83","ecbd026","Tiefling","Sage",2019-08-22 21:53:39,"Wizard 10","Wizard","School of Illusion",10,"War Caster",49,12,8,14,13,18,12,12,"NG","Arcana|History|Investigation|Medicine","Dagger","Thaumaturgy (racial)*0|Thunderclap*0|Fire Bolt*0|Toll The Dead*0|Minor Illusion (class)*0|Infestation*0|Light*0|Chromatic Orb*1|Expedious Retreat (c)*1|Mage Armor*1|Witch Bolt (c)*1|Unseen Servant (c)*1|Magic Missle*1|Feather Fall*1|Disguise Self*1|Blur (c)*2|Maximillian's Earthen Grasp (c)*2|Melf's Acid Arrow*2|Invisibility (c)*2|Hellish Rebuke (racial)*2|Darkness (c, Racial)*2|Haste (c)*3|Fireball*3|Thunder Step*3|Counterspell*3|Major Image*3|Summon Greater Demon (c)*4|Ice Storm*4|Wall Of Fire (c)*4|Bigby's Hand (c)*5|Synaptic Static*5|Cone Of Cold*5|Teleportation Circle*5","Int",NA,"United States","US","NG",NA,NA,"Tiefling","Thaumaturgy*0|Thunderclap*0|Fire Bolt*0|Toll the Dead*0|Minor Illusion*0|Infestation*0|Light*0|Chromatic Orb*1|Expeditious Retreat*1|Mage Armor*1|Witch Bolt*1|Unseen Servant*1|Magic Missile*1|Feather Fall*1|Disguise Self*1|Blur*2|Maximilian's Earthen Grasp*2|Melf's Acid Arrow*2|Invisibility*2|*|Darkness*2|Haste*3|Fireball*3|Thunder Step*3|Counterspell*3|Major Image*3|Summon Greater Demon*4|Ice Storm*4|Wall of Fire*4|Bigby's Hand*5|Synaptic Static*5|Cone of Cold*5|Teleportation Circle*5","Dagger","8-11","clever_kilby"
"f5b217f","1039c7d","e3e8bdfeca1333fe4173cc5e2abc84a3","d0effff","Earth Genasi","Marine",2019-08-22 21:31:42,"Fighter 10","Fighter","Battle Master",10,"Mage Slayer|Shield Master",70,18,18,13,14,10,10,13,"LG","Athletics|Acrobatics|Survival|Intimidation","Longsword",NA,"Str","combat superiority maneuvers/Rally*Disarming Attack*Commander<U+0092>s Strike*Menacing Attack*Distracting Strike*Trip Attack*Parry|fighting style/Protection","United States","US","LG",NA,NA,"Genasi",NA,"Longsword","8-11","vibrant_chaplygin"
"6fe9049","9e21a74","f8ace731c79eeb204678a9ff6c7ab444","c4763bc","Violetken","Far Traveler",2019-08-22 20:56:41,"Wizard 5","Wizard","School of Enchantment",5,NA,25,20,10,14,10,18,14,12,NA,"Arcana|History|Investigation|Religion|Insight|Perception","Dagger","Acid Splash*0|Chill Touch*0|Friends*0|Minor Illusion*0|Charm Person*1|Chromatic Orb*1|Detect Magic*1|Mage Armor*1|Shield*1|Sleep*1|Tasha's Hideous Laughter*1|Unseen Servant*1|Crown Of Madness*2|Hold Person*2|Mirror Image*2|Misty Step*2|Hypnotic Pattern*3|Counterspell*3","Int",NA,"United States","US",NA,NA,NA,"Vedalken","Acid Splash*0|Chill Touch*0|Friends*0|Minor Illusion*0|Charm Person*1|Chromatic Orb*1|Detect Magic*1|Mage Armor*1|Shield*1|Sleep*1|Tasha's Hideous Laughter*1|Unseen Servant*1|Crown of Madness*2|Hold Person*2|Mirror Image*2|Misty Step*2|Hypnotic Pattern*3|Counterspell*3","Dagger","4-7","epic_bartik"
NA,"94aa610","9a4c084ac2a0f123d763ecabf57b2720","a0e3bc1","Wood Elf","Folk Hero",2019-08-22 18:03:38,"Ranger 3","Ranger","Hunter",3,NA,31,17,15,19,16,14,16,9,NA,"Athletics|Stealth|Nature|Animal Handling|Perception|Survival","Longbow|Scimitar|Scimitar",NA,"Wis","fighting style/Defense","Canada","CA",NA,NA,NA,"Elf",NA,"Longbow|Scimitar|Scimitar","1-3","nifty_hellman"
"7f44194","a6861ee","ff8e5aa6b8a59dd57822464cf81033b4","35e345d","Protector Aasimar","Sailor",2019-08-22 17:12:46,"Paladin 14","Paladin","Oath of Redemption",14,NA,169,16,18,10,16,10,11,16,NA,"Athletics|Perception|Intimidation|Persuasion",NA,"Sanctuary*1|Sleep*1|Calm Emotions*2|Hold Person*2|Counterspell*3|Hypnotic Pattern*3|Resilient Sphere*4|Stoneskin*4","Cha","fighting style/Dueling","United States","US",NA,NA,NA,"Aasimar","Sanctuary*1|Sleep*1|Calm Emotions*2|Hold Person*2|Counterspell*3|Hypnotic Pattern*3|*|Stoneskin*4",NA,"12-15","compassionate_montalcini"
"7f44194","a6861ee","c21192fe02f5404c3dae470627ad61f5","d1ae27c","Protector Aasimar","Sailor",2019-08-22 17:10:20,"Rogue 14","Rogue","Assassin",14,NA,143,16,12,20,16,11,11,14,NA,"Athletics|Sleight of Hand|Stealth|Investigation|Perception|Deception","Rapier|Shortbow|Dagger",NA,"Int","expertise/Stealth*Sleight of Hand*Thieves' Tools*Investigation","United States","US",NA,NA,NA,"Aasimar",NA,"Rapier|Shortbow|Dagger","12-15","modest_panini"
"6c42ffc","4b42827","ed0e871312f29800eb85bd8d3e09990e","1d7119b","Human","Faction Agent",2019-08-22 15:48:41,"Druid 5","Druid","Circle of the Moon",5,NA,46,17,10,18,14,10,16,12,NA,"Nature|Animal Handling|Insight|Medicine","Scimitar",NA,"Wis",NA,"Turkey","TR",NA,NA,NA,"Human",NA,"Scimitar","4-7","trusting_franklin"
"0f4e6a3","ad849cf","4e724c646cd1743f9e6ef0e291c74116","afb5200","Human","Custom",2019-08-22 15:26:17,"Barbarian 3","Barbarian","Path of the Berserker",3,"Athlete",45,15,20,14,16,8,8,12,NA,"Athletics|Perception|Survival|Intimidation","Spiked bat",NA,"Int",NA,"United States","US",NA,NA,NA,"Human",NA,"Pike","1-3","eager_mendeleev"
"cbe1c8c","a2e7c21","a733cdda2ed047ba5da1d473c028b5ea","b2abdcd","Slime Mimic","Criminal",2019-08-22 10:27:58,"Fighter 1|Wizard 7","Fighter|Wizard","|School of Abjuration",8,NA,46,18,15,15,13,20,14,17,"True Neutral","Athletics|Stealth|Arcana|History|Deception","Greatsword Ro1Ro2|Crossbow, light",NA,"Int","fighting style/Great Weapon Fighting","United States","US","NN",NA,NA,NA,NA,"Greatsword|Crossbow, Light","8-11","wonderful_heyrovsky"
NA,"49fba77","965d53a0be5f546b49e465934b68bb08","b3fdd07","Human","Cloistered Scholar",2019-08-22 08:37:02,"Warlock 12","Warlock","The Undying",12,"Ritual Caster|Spell Sniper",87,20,10,18,14,14,14,20,NA,"Arcana|History|Investigation|Nature|Religion|Medicine","Dagger","Spare the Dying*0|Mage Hand*0|Toll The Dead*0|Chill Touch*0|Channeled Spirit Spell*1|Unseen Servant*1|Hex*1|Dissonant Whispers*1|Channeled Spirit Spell*2|Gentle Repose*2|Invisibility*2|Channeled Spirit Spell*3|Vampiric Touch*3|Bestow Curse*3|Animate Dead*3|Channel Spirit Spell*4|Channel Spirit Spell*5|Raise Dead*5|Summon Ghost*5|Danse Macabre*5","Cha","pact boon/Pact of the Chain","Canada","CA",NA,NA,NA,"Human","Spare the Dying*0|Mage Hand*0|Toll the Dead*0|Chill Touch*0|*|Unseen Servant*1|Hex*1|Dissonant Whispers*1|*|Gentle Repose*2|Invisibility*2|*|Vampiric Touch*3|Bestow Curse*3|Animate Dead*3|*|*|Raise Dead*5|*|Danse Macabre*5","Dagger","12-15","cranky_elion"
"53b3039","a647bbd","ed2b8640bfcd18548dd87549332cbb31","5085474","Tabaxi","Haunted One",2019-08-22 07:32:17,"Fighter 7","Fighter","Samurai",7,"Savage Attacker|Heavy Armor Master",67,16,15,13,16,12,12,12,NA,"Athletics|Acrobatics|Stealth|Investigation|Insight|Perception|Survival","Greatsword|Crossbow, light",NA,"Int","fighting style/Great Weapon Fighting","United States","US",NA,NA,NA,"Tabaxi",NA,"Greatsword|Crossbow, Light","4-7","nifty_mccarthy"
"7e2fcd9","d27cba4","761cb100d4aba2ec843c0bc04f82298f","8badf13","Ghastly Halfling","Criminal",2019-08-22 02:29:19,"Rogue 6","Rogue","Swashbuckler",6,NA,45,16,10,18,14,10,14,12,NA,"Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Deception","Rapier|Shortsword|Dagger",NA,"Int","expertise/Stealth*Perception*Insight*Deception","Netherlands","NL",NA,NA,NA,"Halfling",NA,"Rapier|Shortsword|Dagger","4-7","sleepy_davinci"
NA,"cecbba1","ba6a739a546fe2b749bc85d2dad25bea","695dc5c","Violetken","Sage",2019-08-21 18:44:06,"Wizard 3","Wizard","School of Divination",3,NA,17,12,10,15,14,18,13,10,"Legal Neutral","Arcana|History|Investigation|Religion|Insight","Dagger","Minor Illusion*0|Ray Of Frost*0|Shocking Grasp*0|Burning Hands*1|Detect Magic*1|Find Familiar*1|Identify*1|Mage Armor*1|Magic Missile*1|Shield*1|Sleep*1|Misty Step*2|Web*2","Int",NA,"Canada","CA","LN",NA,NA,"Vedalken","Minor Illusion*0|Ray of Frost*0|Shocking Grasp*0|Burning Hands*1|Detect Magic*1|Find Familiar*1|Identify*1|Mage Armor*1|Magic Missile*1|Shield*1|Sleep*1|Misty Step*2|Web*2","Dagger","1-3","flamboyant_nightingale"
"b6237e5","bf8d7f0","e90b536b8876fc16d0744b53cf27b156","4a97581","High Elf","Urchin",2019-08-21 18:16:09,"Fighter 3","Fighter","Battle Master",3,NA,33,16,8,16,14,14,12,12,NA,"Acrobatics|Sleight of Hand|Stealth|Insight|Perception","Longbow|Rapier|Handaxe",NA,"Int","combat superiority maneuvers/Riposte*Goading Attack*Distracting Strike|fighting style/Dueling","United States","US",NA,NA,NA,"Elf",NA,"Longbow|Rapier|Handaxe","1-3","mystifying_chatelet"
"0398e46","ad849cf","69529100cf63b6f4c5e197d19a41eff4","f48c2a9","Human","Custom",2019-08-21 16:38:27,"Sorcerer 3","Sorcerer","Divine Soul",3,"Prodigy",24,15,10,13,14,18,19,19,NA,"Arcana|History|Religion|Insight|Perception|Persuasion","Bible","Cure Wounds*1","Cha","metamagic/Twinned Spell*Distant Spell|expertise/Religion","United States","US",NA,NA,NA,"Human","Cure Wounds*1",NA,"1-3","wonderful_fermat"
"36a384a","ad849cf","24906bf6f55dc9b2d2c1242ed1071fcc","9592f2f","Human","Custom",2019-08-21 16:27:43,"Monk 3","Monk","Way of the Open Hand",3,"Prodigy",33,17,14,20,16,10,14,19,NA,"Athletics|Acrobatics|Stealth|Insight|Perception|Performance","Dagger|Unarmed strike",NA,"Int","expertise/Acrobatics","United States","US",NA,NA,NA,"Human",NA,"Dagger|Unarmed Strike","1-3","elegant_lederberg"
"a6be5fe","95c9d36","8256f6c179b7c51ee1ae7af341a07029","7f4245f","Aarakocra","Sage",2019-08-21 12:46:35,"Wizard 3","Wizard","School of Evocation",3,NA,11,12,11,15,9,15,16,8,NA,"Arcana|History|Investigation|Religion","Quarterstaff",NA,"Int",NA,"United States","US",NA,NA,NA,"Aarakocra",NA,"Quarterstaff","1-3","cranky_hopper"
"906371d","eb495e1","d5b0a20d26dc47ce180502f9eca50005","9fb1b3e","Lineage - Baal","Entertainer",2019-08-21 11:36:34,"Bard 5","Bard","College of Lore",5,"Healer",37,13,13,14,13,7,12,19,NA,"Acrobatics|Arcana|Investigation|Medicine|Perception|Deception|Performance|Persuasion","Rapier|Dagger",NA,"Cha","expertise/Perception","United Kingdom","GB",NA,NA,NA,"Tiefling",NA,"Rapier|Dagger","4-7","adoring_heyrovsky"
NA,"d31256f","5709f70b0f4764becca1aa8586e090f3","715423b","Wood Elf","Hermit",2019-08-21 09:04:42,"Druid 1","Druid",NA,1,NA,10,16,10,17,14,11,18,12,NA,"Nature|Religion|Medicine|Perception|Survival","Scimitar",NA,"Wis",NA,"Canada","CA",NA,NA,NA,"Elf",NA,"Scimitar","1-3","hungry_shirley"
"fe57f65",NA,"bf99932f9196a8b4b3b6674fe5dd6d98","08e04b5","Human","Hermit",2019-08-21 06:06:10,"Druid 1","Druid",NA,1,"Resilient",11,16,8,16,16,8,16,8,NA,"Nature|Religion|Medicine|Perception|Survival","Scimitar",NA,"Wis",NA,"United States","US",NA,NA,NA,"Human",NA,"Scimitar","1-3","youthful_curie"
"7fc3f4d",NA,"72f8bc09abf4cee9fc010e1dcb3ba710","0b356fb","Wood Elf","Hermit",2019-08-21 03:09:55,"Druid 1","Druid",NA,1,NA,10,15,8,15,14,12,16,10,NA,"Arcana|Nature|Religion|Medicine|Perception","Scimitar",NA,"Wis",NA,"Spain","ES",NA,NA,NA,"Elf",NA,"Scimitar","1-3","heuristic_agnesi"
"726e637","1d47a74","cf5cc57776fbaf5af15338bb222559bf","0dcf5ff","Tortle","Barbarian Tribe Member",2019-08-20 19:43:07,"Barbarian 10","Barbarian","Path of the Totem Warrior",10,NA,170,22,20,12,20,8,10,10,NA,"Athletics|Acrobatics|Stealth|Perception|Survival|Intimidation","Greataxe|Handaxe|Javelin|Greatclub +2|RAGE Greatclub +2|RAGE Greataxe|RAGE Handaxe",NA,"Int",NA,"United States","US",NA,NA,NA,"Turtle",NA,"Greataxe|Handaxe|Javelin|Greatclub|Greatclub|Greataxe|Handaxe","8-11","affectionate_wilson"
"a6be5fe","18152b2","f8f4177263dc5c76b81e868b67d2a6e2","0373e16","Eladrin DMG","Urban Bounty Hunter",2019-08-20 15:17:46,"Rogue 3","Rogue","Arcane Trickster",3,NA,20,14,12,16,10,10,12,15,NA,"Athletics|Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion","Shortsword|Shortsword|Dagger",NA,"Int","expertise/Persuasion*Deception","United States","US",NA,NA,NA,"Eladrin",NA,"Shortsword|Shortsword|Dagger","1-3","vigorous_grothendieck"
"0b94e95","62fe4db","994e4adf92d665b0b5fc738bb910a93b","c1ff92c","Kenku","Outlander",2019-08-20 13:13:35,"Ranger 16","Ranger","Gloom Stalker",16,"Lucky|Sharpshooter",116,16,12,20,13,10,16,8,NA,"Athletics|Acrobatics|Stealth|Investigation|Insight|Perception|Survival","Shortsword|Longbow","Disguise Self*1|Zephyr Strike*1|Snare*1|Cure Wounds*1|Hail Of Thorns*1|Rope Trick*2|Pass Without A Trace*2|Silience*2|Fear*3|Conjure Animals*3|Lightning Arrow*3|Wind Wall*3|Greater Invisibility*4|Conjure Woodland Beings*4|Stone Skin*4","Wis","fighting style/Archery","United States","US",NA,NA,NA,"Kenku","Disguise Self*1|Zephyr Strike*1|Snare*1|Cure Wounds*1|Hail of Thorns*1|Rope Trick*2|Pass Without Trace*2|Silence*2|Fear*3|Conjure Animals*3|Lightning Arrow*3|Wind Wall*3|Greater Invisibility*4|Conjure Woodland Beings*4|Stoneskin*4","Shortsword|Longbow","16-18","flamboyant_kirch"
