Class_ID,Class_Name,Ability,HP,Training,subclass,Proficiency
,Warlock,Thievery,28,Research,The Great Old One,Elven Accuracy
,Rogue,Stealth,33,Relaxation,Thief,Mobile
,Monk,Heal,38,Crafting an Item,Way of the Open Hand,Lucky
,Cleric,Streetwise,41,Selling a Magic Item,Light Domain,Observent
,Wizard,Endurance,34,Work,School of Transmutation,Sharpshooter
,Barbarian,Insight,65,Buying a Magic Item,Path of the Ancestral Guardian,Spell Sniper
,Bard,Streetwise,34,Buying a Magic Item,College of Lore,Crossbow Expert
,Sorcerer,Intimidate,43,Crime,Draconic Bloodline,Spell Sniper
,Fighter,Diplomacy,44,Sacred Rites,Champion,Crossbow Expert
,Bard|Rogue,Endurance,41,Sowing Rumors,College of Lore|,Mobile
,Barbarian,Stealth,1,Relaxation,Path of the Totem Warrior,Dual Wielder
,Warlock,Arcana,24,Stronghold,The Hexblade,Sharpshooter
,Bard,Insight,9,Sowing Rumors,,Resilient
,Fighter,Diplomacy,53,Sacred Rites,Champion,Elven Accuracy
,Sorcerer,Arcana,23,Sowing Rumors,Wild Magic,Prodigy
,Paladin,Diplomacy,76,Selling a Magic Item,Revised Oath of Conquest,Alert
,Cleric,Streetwise,46,Selling a Magic Item,Light Domain,Crossbow Expert
,Fighter,Athletics,44,Research,Battle Master,Mobile
,Barbarian,Endurance,65,Scribing a Spell Scroll,Path of the Battlerager,Shield Master
,Bard,Diplomacy,104,Crafting an Item,College of Valor,Spell Sniper
,Barbarian,Dungeoneering,14,Pit Fighting,,Medium Armor
,Monk,Streetwise,80,Gambling,Way of the Open Hand,Defensive Duelist
,Fighter,Dungeoneering,36,Crime,Battle Master,Medium Armor
,Barbarian,Dungeoneering,35,Work,Path of the Berserker,Sentinel
,Rogue,Arcana,17,Research,,War Caster
,Paladin,Arcana,19,Sowing Rumors,,Mobile
,Sorcerer,Diplomacy,14,Crime,Shadow Magic,Lucky
,Rogue,Endurance,27,Sowing Rumors,Thief,Sentinel
,Wizard|Rogue,Streetwise,19,Sowing Rumors,School of Evocation|,Prodigy
,Fighter|Paladin,Athletics,40,Gambling,Eldritch Knight|,Tough
,Sorcerer,Endurance,9,Buying a Magic Item,Shadow Magic,Shield Master
,Monk,Stealth,18,Sacred Rites,Way of the Open Hand,Dual Wielder
,Cleric,Intimidate,10,Gambling,Tempest Domain,Dual Wielder
,Warlock,Bluff,38,Pit Fighting,The Celestial,War Caster
,Cleric,Diplomacy,67,Gambling,Trickery Domain,Shield Master
,Cleric,Stealth,11,Carousing,Tempest Domain,Spell Sniper
,Warlock,Arcana,24,Work,The Celestial,Sentinel
,Cleric,Athletics,11,Language,Tempest Domain,Shield Master
,Wizard,Athletics,62,Work,School of Conjuration,Great Weapon Master
,Rogue,Dungeoneering,63,Research,Assassin,Sentinel
,Monk,Heal,23,Religious Service,Way of the Four Elements,Polearm Master
,Warlock,Heal,66,Stronghold,The Archfey,Sentinel
,Cleric,Thievery,49,Religious Service,Trickery Domain,Defensive Duelist
,Cleric,Stealth,59,Crime,Life Domain,Mobile
,Cleric,Stealth,59,Research,Life Domain,Shield Master
,Paladin|Bard,Thievery,48,Sacred Rites,|College of Swords,Actor
,Paladin|Bard,Streetwise,48,Scribing a Spell Scroll,|College of Swords,Prodigy
,Barbarian,Diplomacy,61,Tool,Path of the Ancestral Guardian,Observent
,Fighter,Endurance,20,Sacred Rites,Battle Master,Observent
,Barbarian,Arcana,60,Carousing,Path of the Ancestral Guardian,Spell Sniper
,Bard|Cleric,Thievery,24,Stronghold,|Grave Domain,Resilient
,Monk,Diplomacy,45,Research,Way of the Open Hand,Tough
,Fighter,Diplomacy,55,Crime,Eldritch Knight,Mobile
,Cleric,Endurance,52,Gambling,Light Domain,Medium Armor
,Paladin|Warlock,Athletics,47,Stronghold,|The Hexblade,Alert
,Ranger|Barbarian|Warlock|Fighter,Religion,194,Gambling,Gloom Stalker|Path of the Totem Warrior|The Hexblade|Champion,Dual Wielder
,Paladin,Diplomacy,27,Crime,Oath of Vengeance,Medium Armor
,Warlock|Sorcerer,Heal,167,Buying a Magic Item,The Celestial|Divine Soul,Actor
,Ranger|Rogue,Heal,61,Gambling,Gloom Stalker|,Actor
,Paladin,Intimidate,60,Scribing a Spell Scroll,Oath of the Crown,Medium Armor
,Paladin,Arcana,52,Scribing a Spell Scroll,Oath of the Crown,Spell Sniper
,Paladin,Endurance,44,Crime,Oath of the Crown,Shield Master
,Ranger,Stealth,53,Work,Gloom Stalker,Great Weapon Master
,Warlock,Streetwise,11,Relaxation,The Hexblade,Sentinel
,Fighter,Thievery,39,Stronghold,Arcane Archer,Defensive Duelist
,Fighter,Intimidate,36,Sacred Rites,Arcane Archer,Elven Accuracy
,Ranger,Heal,31,Crime,Hunter,Spell Sniper
,Sorcerer,Dungeoneering,8,Crafting an Item,Draconic Bloodline,Great Weapon Master
,Bard,Intimidate,11,Crime,,Prodigy
,Cleric,Endurance,10,Crafting an Item,Knowledge Domain,Sentinel
,Cleric,Intimidate,10,Carousing,Knowledge Domain,Medium Armor
,Cleric,Athletics,10,Research,Knowledge Domain,Crossbow Expert
,Fighter,Streetwise,11,Tool,,Defensive Duelist
,Sorcerer,Intimidate,26,Crafting an Item,Divine Soul,Alert
,Rogue,Bluff,11,Crafting an Item,,Observent
,Barbarian,Bluff,118,Pit Fighting,Path of the Totem Warrior,Polearm Master
,Cleric,Dungeoneering,11,Sacred Rites,Death Domain,Sentinel
,Paladin,Dungeoneering,240,Crime,Oath of Conquest,Alert
,Rogue|Fighter,Diplomacy,640,Pit Fighting,Swashbuckler|Champion,War Caster
,Rogue,Intimidate,20,Pit Fighting,,Crossbow Expert
,Rogue,Thievery,29,Research,Swashbuckler,Crossbow Expert
,Monk,Arcana,61,Tool,Way of the Four Elements,Sharpshooter
,Barbarian,Religion,83,Crime,Path of the Ancestral Guardian,Dual Wielder
,Sorcerer,Endurance,70,Religious Service,Draconic Bloodline,Prodigy
,Bard|Warlock,Bluff,68,Tool,College of Whispers|The Fiend,Observent
,Rogue|Fighter,Stealth,97,Research,Scout|Battle Master,Shield Master
,Fighter,Heal,68,Crafting an Item,Arcane Archer,Resilient
,Cleric,Thievery,70,Relaxation,Life Domain,Spell Sniper
,Fighter,Religion,74,Religious Service,Eldritch Knight,Observent
,Fighter,Streetwise,54,Buying a Magic Item,Champion,Prodigy
,Paladin|Bard,Bluff,48,Gambling,|College of Swords,Alert
,Fighter,Religion,56,Pit Fighting,Battle Master,Crossbow Expert
,Rogue,Religion,31,Carousing,Inquisitive,Medium Armor
,Fighter,Insight,48,Pit Fighting,Arcane Archer,Elven Accuracy
,Fighter,Arcana,63,Language,Champion,War Caster
,Monk,Bluff,93,Gambling,Way of Shadow,Tough
,Warlock,Dungeoneering,24,Buying a Magic Item,The Hexblade,Lucky
,Wizard|Rogue,Bluff,150,Language,School of Necromancy|Assassin,Defensive Duelist
,Cleric,Intimidate,69,Scribing a Spell Scroll,Light Domain,Medium Armor
,Fighter,Thievery,30,Carousing,Arcane Archer,Crossbow Expert
,Warlock,Intimidate,40,Pit Fighting,The Hexblade,Resilient
,Warlock,Intimidate,202,Work,The Great Old One,Tough
,Sorcerer,Thievery,18,Relaxation,Wild Magic,Mobile
,Warlock,Athletics,40,Buying a Magic Item,The Hexblade,Mobile
,Druid,Dungeoneering,24,Language,Circle of the Moon,Observent
,Rogue,Arcana,31,Sacred Rites,Assassin,War Caster
,Monk,Thievery,27,Pit Fighting,Way of the Open Hand,Spell Sniper
,Barbarian,Dungeoneering,41,Research,Path of the Berserker,Resilient
,Fighter,Stealth,44,Language,Champion,Shield Master
,Wizard,Insight,26,Carousing,School of Abjuration,Prodigy
,Paladin|Warlock,Endurance,51,Tool,|The Celestial,Prodigy
,Wizard,Athletics,25,Buying a Magic Item,School of Necromancy,Resilient
,Druid,Diplomacy,51,Carousing,Circle of Dreams,Dual Wielder
,Druid,Thievery,51,Stronghold,Circle of Dreams,Medium Armor
,Monk,Heal,32,Carousing,Way of the Sun Soul,Great Weapon Master
,Druid,Intimidate,27,Crime,Circle of the Shepherd,Lucky
,Wizard,Stealth,53,Gambling,School of Conjuration,Actor
,,Stealth,16,Language,,Defensive Duelist
,Fighter,Thievery,148,Sacred Rites,Arcane Archer,Actor
,Cleric,Insight,27,Crime,Life Domain,Dual Wielder
,Bard,Dungeoneering,9,Relaxation,,Spell Sniper
,Druid,Endurance,10,Tool,,Dual Wielder
,Druid,Arcana,10,Carousing,,Great Weapon Master
,Druid,Bluff,75,Religious Service,Circle of the Moon,Elven Accuracy
,Rogue|Wizard,Insight,89,Crafting an Item,Assassin|War Magic,Lucky
,Rogue|Ranger,Thievery,35,Research,Assassin|Beast Master,Sharpshooter
,Rogue|Paladin,Intimidate,43,Tool,Inquisitive|Oath of Redemption,Actor
,Rogue,Intimidate,15,Work,,Great Weapon Master
,Rogue,Streetwise,15,Relaxation,,Medium Armor
,Wizard,Endurance,14,Sacred Rites,School of Necromancy,Mobile
,Cleric,Diplomacy,18,Carousing,Life Domain,Crossbow Expert
,Warlock,Religion,15,Sowing Rumors,The Great Old One,Defensive Duelist
,Fighter,Athletics,22,Sowing Rumors,,War Caster
,Rogue|Fighter|Ranger,Intimidate,75,Tool,||Gloom Stalker,Observent
,Fighter,Streetwise,48,Sacred Rites,Champion,Prodigy
,Blood Hunter,Streetwise,11,Selling a Magic Item,,Polearm Master
,Barbarian,Endurance,1,Language,Path of the Totem Warrior,Sharpshooter
,Monk,Thievery,15,Carousing,Way of the Sun Soul,Tough
,Paladin|Bard,Arcana,48,Sacred Rites,|College of Swords,Great Weapon Master
,Paladin|Bard,Insight,48,Stronghold,|College of Swords,Actor
,Paladin|Bard,Stealth,48,Tool,|College of Swords,Spell Sniper
,Ranger,Streetwise,70,Work,Hunter,Elven Accuracy
,Fighter,Heal,49,Buying a Magic Item,Battle Master,Great Weapon Master
,Fighter|Cleric,Endurance,202,Work,Battle Master|Forge Domain,Polearm Master
,Bard,Nature,9,Pit Fighting,,Dual Wielder
,Cleric|Fighter,Arcana,68,Scribing a Spell Scroll,War Domain|,Sentinel
,Fighter,Thievery,74,Stronghold,Champion,Sharpshooter
,Wizard,Stealth,4,Gambling,,Tough
,Bard,Arcana,30,Buying a Magic Item,College of Swords,Mobile
,Sorcerer,Dungeoneering,9,Crafting an Item,Draconic Bloodline,Lucky
,Monk,Arcana,30,Tool,Way of the Open Hand,Tough
,Bard,Insight,7,Language,,Actor
,Rogue,Nature,87,Crafting an Item,Arcane Trickster,Tough
,Bard,Bluff,7,Stronghold,,Lucky
,Warlock,Athletics,9,Pit Fighting,The Celestial,War Caster
,Ranger,Nature,56,Sacred Rites,Beast Master,Dual Wielder
,Bard,Stealth,24,Pit Fighting,College of Glamour,Polearm Master
,Paladin,Thievery,31,Research,Oath of Devotion,Prodigy
,Cleric|Wizard,Arcana,30,Crime,War Domain|War Magic,Sentinel
,Bard|Warlock,Religion,51,Buying a Magic Item,College of Swords|The Hexblade,Alert
,Monk,Thievery,16,Relaxation,,Dual Wielder
,Druid,Athletics,39,Crafting an Item,Circle of the Moon,Alert
,Fighter,Insight,39,Buying a Magic Item,Battle Master,Dual Wielder
,Fighter,Stealth,66,Sowing Rumors,Eldritch Knight,Resilient
,Warlock,Insight,48,Relaxation,The Hexblade,Mobile
,Rogue,Thievery,83,Buying a Magic Item,Arcane Trickster,Elven Accuracy
,Barbarian,Religion,30,Stronghold,,War Caster
,Rogue,Religion,8,Tool,,Resilient
,Rogue,Streetwise,8,Religious Service,,Observent
,Fighter,Religion,22,Scribing a Spell Scroll,,Mobile
,Fighter,Streetwise,24,Gambling,,Mobile
,Monk,Thievery,9,Work,,Prodigy
,Monk,Thievery,8,Crafting an Item,,Sharpshooter
,Fighter,Diplomacy,11,Sowing Rumors,,Sharpshooter
,Ranger,Insight,62,Sowing Rumors,Gloom Stalker,Dual Wielder
,Druid,Nature,31,Stronghold,Circle of Dreams,Shield Master
,Rogue,Arcana,8,Crime,,Great Weapon Master
,Monk,Religion,9,Research,,Resilient
,Fighter,Religion,38,Carousing,Battle Master,Elven Accuracy
,Cleric,Nature,27,Religious Service,Light Domain,Resilient
,Cleric,Athletics,18,Tool,Life Domain,Actor
,Cleric,Stealth,14,Gambling,Death Domain,War Caster
,Sorcerer,Endurance,22,Selling a Magic Item,Storm Sorcery,Crossbow Expert
,Wizard,Bluff,66,Language,School of Abjuration,War Caster
,Barbarian,Arcana,93,Religious Service,Path of the Totem Warrior,Lucky
,Rogue,Bluff,67,Crafting an Item,Assassin,Shield Master
,Rogue,Arcana,67,Language,Assassin,Mobile
,Cleric,Thievery,75,Scribing a Spell Scroll,Tempest Domain,Actor
,Fighter,Streetwise,22,Gambling,,Lucky
,Warlock,Diplomacy,15,Buying a Magic Item,The Great Old One,Sentinel
,Rogue|Ranger,Diplomacy,56,Sacred Rites,|Hunter,Crossbow Expert
,Fighter|Rogue,Endurance,74,Crime,Battle Master|,Lucky
,Cleric,Athletics,10,Crafting an Item,Forge Domain,Resilient
,Monk,Endurance,36,Buying a Magic Item,Way of Shadow,War Caster
,Ranger,Streetwise,48,Scribing a Spell Scroll,Beast Master,Observent
,Barbarian,Diplomacy,54,Crafting an Item,Path of the Berserker,Defensive Duelist
,Druid,Streetwise,42,Tool,Circle of the Moon,Tough
,Wizard,Insight,30,Buying a Magic Item,School of Transmutation,Resilient
,Bard,Heal,36,Research,College of Glamour,Actor
,Blood Hunter,Arcana,12,Crafting an Item,,Great Weapon Master
,Rogue,Dungeoneering,65,Crafting an Item,Swashbuckler,Tough
,Sorcerer,Thievery,10,Sowing Rumors,Wild Magic,Shield Master
,Wizard,Bluff,7,Sowing Rumors,,Elven Accuracy
,Wizard,Dungeoneering,44,Religious Service,School of Transmutation,Elven Accuracy
,Paladin,Insight,20,Carousing,,Polearm Master
,Sorcerer,Arcana,36,Religious Service,Storm Sorcery,War Caster
,Rogue,Heal,39,Religious Service,Assassin,Crossbow Expert
,Fighter,Diplomacy,184,Crafting an Item,Battle Master,Spell Sniper
,Paladin,Heal,191,Crime,Oath of Redemption,Mobile
,Bard,Diplomacy,43,Pit Fighting,College of Lore,Mobile
,Cleric,Stealth,30,Scribing a Spell Scroll,Arcana Domain,Tough
,Warlock,Nature,21,Scribing a Spell Scroll,The Archfey,Lucky
,Monk,Endurance,48,Buying a Magic Item,,Actor
,Warlock,Diplomacy,20,Tool,The Hexblade,Sharpshooter
,Warlock,Bluff,10,Buying a Magic Item,The Archfey,Sentinel
,Rogue,Intimidate,8,Sacred Rites,,Medium Armor
,Paladin,Endurance,28,Buying a Magic Item,Oath of Devotion,Polearm Master
,Fighter,Religion,12,Carousing,,Resilient
,Rogue,Streetwise,8,Crafting an Item,,Sentinel
,Rogue,Stealth,19,Crime,Arcane Trickster,Alert
,Fighter,Diplomacy,45,Research,gunslinger,Great Weapon Master
,Monk,Bluff,138,Sowing Rumors,Way of the Open Hand,Defensive Duelist
,Barbarian,Arcana,60,Crafting an Item,Path of the Battlerager,Crossbow Expert
,Wizard,Streetwise,44,Pit Fighting,School of Necromancy,Spell Sniper
,Rogue,Intimidate,52,Carousing,Mastermind,Resilient
,Rogue,Endurance,52,Language,Mastermind,Elven Accuracy
,Cleric,Thievery,10,Language,Life Domain,Lucky
,Fighter,Heal,13,Language,,Crossbow Expert
,Paladin,Athletics,25,Relaxation,,Alert
,Druid,Dungeoneering,11,Stronghold,,Lucky
,Druid,Heal,21,Buying a Magic Item,Circle of Dreams,Prodigy
,Druid,Heal,9,Relaxation,,Medium Armor
,Rogue,Heal,52,Scribing a Spell Scroll,Mastermind,Observent
,Ranger|Sorcerer,Heal,139,Work,Hunter|Storm Sorcery,Actor
,Rogue,Bluff,43,Crafting an Item,Mastermind,Observent
,Rogue,Thievery,34,Crafting an Item,Mastermind,Prodigy
,Fighter,Stealth,33,Research,Champion,Crossbow Expert
,Ranger,Dungeoneering,30,Research,Monster Slayer,Prodigy
,Cleric,Religion,27,Buying a Magic Item,Life Domain,Sharpshooter
,Wizard,Intimidate,7,Buying a Magic Item,,Prodigy
,Fighter,Stealth,72,Carousing,Eldritch Knight,Resilient
,Druid,Religion,8,Carousing,,Polearm Master
,Warlock,Streetwise,39,Religious Service,The Hexblade,Shield Master
,Fighter,Arcana,44,Buying a Magic Item,Battle Master,Mobile
,Paladin|Sorcerer|Rogue|Fighter,Arcana,604,Crime,OathBreaker|Draconic Bloodline|Mastermind|Eldritch Knight,Dual Wielder
,Rogue,Intimidate,42,Pit Fighting,Mastermind,Great Weapon Master
,Fighter,Dungeoneering,67,Relaxation,Arcane Archer,Shield Master
,Monk,Religion,67,Sowing Rumors,Way of the Open Hand,Medium Armor
,Monk,Intimidate,59,Stronghold,Way of the Open Hand,Resilient
,Cleric,Arcana,16,Selling a Magic Item,Forge Domain,Elven Accuracy
,Barbarian,Dungeoneering,14,Carousing,,Tough
,Sorcerer,Heal,20,Research,Wild Magic,Spell Sniper
,Sorcerer,Athletics,20,Research,Wild Magic,Shield Master
,Fighter,Endurance,36,Carousing,Champion,Defensive Duelist
,Fighter|Warlock,Insight,57,Research,|The Hexblade,Crossbow Expert
,Fighter|Warlock,Endurance,23,Pit Fighting,|Hexblade,Shield Master
,Ranger,Bluff,29,Carousing,Gloom Stalker,Medium Armor
,Rogue,Diplomacy,24,Selling a Magic Item,Assassin,Prodigy
,Paladin,Insight,28,Pit Fighting,Oath of Devotion,Sentinel
,Wizard,Religion,20,Crime,School of Transmutation,Polearm Master
,Monk,Intimidate,24,Pit Fighting,Way of the Kensei,Dual Wielder
,Druid,Religion,24,Relaxation,Circle of the Moon,Crossbow Expert
,Fighter,Heal,31,Buying a Magic Item,Champion,Alert
,Ranger,Diplomacy,31,Work,Monster Slayer,Shield Master
,Barbarian,Heal,32,Crafting an Item,Path of the Storm Herald,Lucky
,Warlock,Arcana,24,Stronghold,The Fiend,Tough
,Warlock,Insight,24,Relaxation,The Fiend,Dual Wielder
,Paladin,Intimidate,50,Religious Service,OathBreaker,Sharpshooter
,Monk,Bluff,66,Carousing,Way of the Open Hand,Actor
,Fighter|Warlock,Religion,23,Crafting an Item,|Hexblade,Mobile
,Fighter|Warlock,Stealth,48,Buying a Magic Item,Samurai|The Hexblade,Defensive Duelist
,Barbarian|Fighter,Dungeoneering,18,Selling a Magic Item,|,Elven Accuracy
,Paladin,Diplomacy,32,Crafting an Item,Oath of Conquest,Polearm Master
,Monk,Stealth,31,Gambling,Way of the Open Hand,Great Weapon Master
,Fighter,Endurance,40,Sacred Rites,Purple Dragon Knight,Sharpshooter
,Cleric,Insight,35,Crafting an Item,War Domain,Polearm Master
,Druid,Dungeoneering,5,Crafting an Item,,Lucky
,Sorcerer,Religion,8,Crime,Divine Soul,War Caster
,Cleric,Streetwise,9,Buying a Magic Item,Knowledge Domain,Great Weapon Master
,Fighter,Insight,31,Research,Eldritch Knight,Defensive Duelist
,Fighter,Athletics,31,Relaxation,Eldritch Knight,Mobile
,Cleric,Arcana,9,Stronghold,Knowledge Domain,Crossbow Expert
,Wizard,Streetwise,14,Pit Fighting,School of Evocation,Crossbow Expert
,Rogue,Intimidate,19,Language,,Observent
,Monk,Dungeoneering,66,Buying a Magic Item,Way of the Sun Soul,Spell Sniper
,Cleric,Diplomacy,66,Scribing a Spell Scroll,Life Domain,Resilient
,Paladin,Thievery,11,Tool,,Resilient
,Rogue,Athletics,10,Selling a Magic Item,,Prodigy
,Ranger,Streetwise,48,Gambling,Hunter,Sentinel
,Cleric,Athletics,24,Sowing Rumors,War Domain,Dual Wielder
,Ranger,Arcana,13,Gambling,,Elven Accuracy
,Druid,Insight,40,Relaxation,Circle of Dreams,Dual Wielder
,Barbarian,Insight,34,Gambling,Path of the Ancestral Guardian,Great Weapon Master
,Bard,Dungeoneering,24,Carousing,College of Whispers,Resilient
,Rogue,Religion,30,Selling a Magic Item,Arcane Trickster,Alert
,Druid,Dungeoneering,24,Crime,Circle of Spores,Elven Accuracy
,Fighter,Religion,28,Research,Samurai,Polearm Master
,Fighter,Dungeoneering,13,Carousing,,Crossbow Expert
,Rogue,Stealth,10,Research,,Actor
,Rogue,Insight,30,Religious Service,Thief,Great Weapon Master
,Wizard,Thievery,45,Sacred Rites,School of Conjuration,Alert
,Fighter|Barbarian,Arcana,138,Selling a Magic Item,Battle Master|Path of the Berserker,Elven Accuracy
,Ranger,Thievery,32,Tool,Gloom Stalker,Great Weapon Master
,Druid,Religion,9,Sowing Rumors,,Crossbow Expert
,Barbarian,Dungeoneering,105,Carousing,Path of the Totem Warrior,Defensive Duelist
,Wizard,Athletics,23,Pit Fighting,War Magic,War Caster
,Rogue,Stealth,26,Research,Inquisitive,Sharpshooter
,Paladin,Intimidate,46,Scribing a Spell Scroll,Oath of Vengeance,Sentinel
,Rogue,Dungeoneering,24,Pit Fighting,Scout,Elven Accuracy
,Rogue,Diplomacy,35,Carousing,Assassin,Spell Sniper
,Cleric,Streetwise,63,Pit Fighting,Grave Domain,Shield Master
,Ranger,Intimidate,39,Carousing,Beast Master,Mobile
,Paladin,Intimidate,26,Sacred Rites,Oath of Vengeance,Great Weapon Master
,Bard,Thievery,21,Gambling,College of Lore,Mobile
,Fighter,Athletics,38,Work,Champion,Observent
,Fighter|Cleric,Arcana,19,Pit Fighting,|Forge,Sentinel
,Fighter,Streetwise,40,Buying a Magic Item,Champion,Tough
,Ranger,Nature,36,Tool,Gloom Stalker,Medium Armor
,Monk,Bluff,44,Crime,Way of the Long Death,Actor
,Rogue,Diplomacy,43,Scribing a Spell Scroll,Swashbuckler,War Caster
,Cleric,Athletics,49,Sacred Rites,Light Domain,Sharpshooter
,Paladin,Thievery,48,Language,Oath of Redemption,Tough
,Bard,Heal,7,Crime,,Shield Master
,Bard,Heal,14,Pit Fighting,,War Caster
,Warlock,Intimidate,21,Stronghold,The Archfey,Crossbow Expert
,Monk,Religion,21,Sowing Rumors,Way of the Four Elements,Shield Master
,Mystic,Diplomacy,45,Tool,Order of the Wu Jen,Sentinel
,Rogue,Nature,10,Gambling,,Prodigy
,Wizard,Athletics,7,Research,,Medium Armor
,Rogue,Dungeoneering,7,Pit Fighting,,War Caster
,Paladin,Dungeoneering,12,Scribing a Spell Scroll,,Observent
,Fighter,Athletics,10,Buying a Magic Item,,Tough
,Cleric,Arcana,8,Language,Order Domain,Actor
,Barbarian,Endurance,15,Sowing Rumors,,Actor
,Bard,Religion,28,Language,College of Glamour,Crossbow Expert
,Druid,Endurance,20,Gambling,Circle of the Moon,Lucky
,Druid,Intimidate,27,Buying a Magic Item,Circle of the Moon,Medium Armor
,Ranger|Barbarian|Warlock,Religion,95,Crafting an Item,Gloom Stalker||The Hexblade,Alert
,Ranger|Barbarian|Warlock,Heal,95,Sowing Rumors,Gloom Stalker||The Hexblade,Medium Armor
,Monk,Streetwise,44,Gambling,Way of the Open Hand,Lucky
,Monk,Arcana,26,Work,Way of the Open Hand,Actor
,Sorcerer,Athletics,8,Tool,Shadow Magic,Prodigy
,Cleric,Nature,59,Religious Service,Life Domain,Polearm Master
,Barbarian,Nature,85,Crafting an Item,Path of the Totem Warrior,Elven Accuracy
,Rogue,Bluff,59,Sowing Rumors,Assassin,Lucky
,Wizard,Stealth,66,Language,School of Abjuration,Medium Armor
,Ranger,Endurance,12,Buying a Magic Item,,Sentinel
,Ranger,Dungeoneering,60,Scribing a Spell Scroll,Gloom Stalker,Observent
,Druid|Warlock|Monk,Diplomacy,60,Religious Service,Circle of the Moon|The Archfey|,Observent
,Barbarian|Fighter,Heal,216,Sowing Rumors,Path of the Ancestral Guardian|Champion,Crossbow Expert
,Barbarian|Fighter,Intimidate,216,Tool,Path of the Ancestral Guardian|Champion,Alert
,Bard,Bluff,218,Stronghold,College of Valor,Medium Armor
,Paladin,Bluff,13,Scribing a Spell Scroll,,Lucky
,Rogue,Heal,12,Selling a Magic Item,,Resilient
,Paladin,Bluff,13,Relaxation,,Mobile
,Rogue,Dungeoneering,32,Crafting an Item,Assassin,Actor
,Bard,Thievery,7,Religious Service,,Mobile
,Cleric,Religion,11,Crafting an Item,Trickery Domain,Shield Master
,Druid,Bluff,7,Language,,Mobile
,Fighter,Insight,12,Carousing,,Spell Sniper
,Paladin,Nature,12,Crafting an Item,,Observent
,Wizard,Bluff,8,Tool,,Prodigy
,Cleric,Endurance,22,Language,Life Domain,Elven Accuracy
,Barbarian,Dungeoneering,108,Crafting an Item,Path of the Totem Warrior,Shield Master
,Barbarian,Arcana,105,Pit Fighting,Path of the Totem Warrior,Prodigy
,Barbarian,Intimidate,100,Tool,Path of the Totem Warrior,Observent
,Barbarian,Athletics,92,Relaxation,Path of the Totem Warrior,War Caster
,Paladin,Arcana,11,Sowing Rumors,,Crossbow Expert
,Bard,Insight,11,Scribing a Spell Scroll,,Great Weapon Master
,Cleric,Nature,12,Scribing a Spell Scroll,War Domain,Defensive Duelist
,Warlock,Diplomacy,10,Relaxation,The Fiend,Prodigy
,Barbarian,Arcana,87,Gambling,Path of the Ancestral Guardian,Mobile
,Warlock,Endurance,41,Pit Fighting,The Great Old One,Tough
,Wizard,Streetwise,42,Tool,School of Divination,Defensive Duelist
,Paladin,Athletics,64,Tool,Oath of Vengeance,Sharpshooter
,Fighter,Endurance,12,Scribing a Spell Scroll,,Resilient
,Cleric,Streetwise,10,Language,Light Domain,Spell Sniper
,Cleric|Wizard,Thievery,39,Sowing Rumors,Forge Domain|,Elven Accuracy
,Cleric,Endurance,44,Gambling,Tempest Domain,Great Weapon Master
,Rogue,Intimidate,21,Scribing a Spell Scroll,Assassin,Elven Accuracy
,Cleric,Intimidate,34,Crime,War Domain,Crossbow Expert
,Rogue,Intimidate,9,Crime,,Polearm Master
,Bard,Athletics,21,Research,College of Glamour,Observent
,Cleric,Endurance,10,Relaxation,Light Domain,Crossbow Expert
,Bard,Nature,40,Stronghold,College of Valor,Defensive Duelist
,Barbarian,Athletics,51,Crafting an Item,Path of the Ancestral Guardian,Sentinel
,Rogue,Nature,34,Scribing a Spell Scroll,Arcane Trickster,Great Weapon Master
,Bard,Endurance,52,Buying a Magic Item,College of Whispers,Great Weapon Master
,Paladin,Streetwise,12,Stronghold,,Great Weapon Master
,Paladin,Athletics,12,Sacred Rites,,Mobile
,Cleric,Religion,28,Work,Life Domain,Dual Wielder
,Wizard,Stealth,8,Tool,,Prodigy
,Wizard,Endurance,9,Crafting an Item,,Sentinel
,Bard,Arcana,52,Language,College of Whispers,Prodigy
,Warlock,Religion,9,Scribing a Spell Scroll,The Hexblade,Resilient
,Cleric,Insight,51,Religious Service,Tempest Domain,Resilient
,Monk,Bluff,39,Scribing a Spell Scroll,Way of the Four Elements,Tough
,Barbarian,Intimidate,65,Research,Path of the Berserker,Shield Master
,Barbarian,Bluff,15,Crafting an Item,,Tough
,Cleric,Athletics,114,Relaxation,Tempest Domain,Tough
,Fighter|Rogue,Streetwise,96,Religious Service,Arcane Archer|Assassin,Tough
,Druid|Revised Ranger,Endurance,85,Sowing Rumors,Revised Circle of the Shepherd|Horizon Walker,Resilient
,Bard,Dungeoneering,23,Sowing Rumors,College of Swords,Polearm Master
,Fighter,Thievery,232,Carousing,Eldritch Knight,War Caster
,Blood Hunter,Intimidate,69,Scribing a Spell Scroll,Order of the Ghostslayer,Defensive Duelist
,Monk,Stealth,49,Buying a Magic Item,Way of the Kensei,War Caster
,Sorcerer,Athletics,52,Scribing a Spell Scroll,Draconic Bloodline,Dual Wielder
,Bard,Arcana,50,Research,College of Lore,Medium Armor
,Wizard,Arcana,39,Pit Fighting,School of Necromancy,Elven Accuracy
,Barbarian,Streetwise,85,Sowing Rumors,Path of the Berserker,Elven Accuracy
,Druid,Heal,9,Scribing a Spell Scroll,,Spell Sniper
