BG_ID,BG_Name,Story,Job,Characteristics
,Custom,To be written by player,Transporter,Hard of hearing
,Custom,To be written by player,Academic,Relentless
,Sage,To be written by player,Gladiator,Hard of hearing
,Entertainer,To be written by player,Novitiate,Uncivilized
,Hermit,To be written by player,Adventurer,Specialized
,Hermit,To be written by player,Doctor,Cautious
,Hermit,To be written by player,Dilettante,Dishonesty
,Barbarian Tribe Member,To be written by player,Religious,Detached
,Urban Bounty Hunter,To be written by player,Religious,Uncivilized
,Outlander,To be written by player,Religious,Hard of hearing
,Noble,To be written by player,Scavenger, Illiterate
,Custom,To be written by player,Blue Collar,Uncivilized
,Acolyte,To be written by player,Technician,Distinctive
,Charlatan,To be written by player,Blue Collar,Relentless
,Soldier,To be written by player,Novitiate, Illiterate
,Acolyte,To be written by player,Transporter,Hardy
,Sage,To be written by player,Transporter,Specialized
,Outlander,To be written by player,Astronaut Trainee,Hardy
,Urchin,To be written by player,Technician,Abrasiveness
,Sage,To be written by player,Doctor,Honest
,Soldier,To be written by player,Academic,Absent-Minded
,Hermit,To be written by player,Entrepreneur,Focused
,Haunted One,To be written by player,Military,Uncivilized
,Urchin,To be written by player,Shadow Scholar,Hardy
,Smuggler,To be written by player,Rural,Cautious
,Far Traveler,To be written by player,Criminal,Focused
,Knight,To be written by player,Criminal,Cautious
,Criminal,To be written by player,Colonist,Farsighted
,Mercenary Veteran,To be written by player,Drifter,Dishonesty
,Sailor,To be written by player,Drifter,Absent-Minded
,Outlander,To be written by player,Adventurer,Suspicious
,Hermit,To be written by player,Rural,Polite
,Acolyte,To be written by player,Law Enforcement,Cautious
,Acolyte,To be written by player,Criminal,Relentless
,Criminal,To be written by player,Celebrity,Aggression
,Acolyte,To be written by player,Aporthecary,Honest
,Acolyte,To be written by player,Gladiator,Suspicious
,Charlatan,To be written by player,Academic,Honest
,Criminal,To be written by player,Hedge Wizard,Specialized
,Soldier,To be written by player,Drifter,Easygoing
,Outlander,To be written by player,Drifter,Dishonesty
,Soldier,To be written by player,Rural,Focused
,Acolyte,To be written by player,Investigative,Slow
,Acolyte,To be written by player,Transporter,Detached
,Soldier,To be written by player,Colonist,Farsighted
,Hermit,To be written by player,Heir,Honest
,Criminal,To be written by player,Novitiate,Easygoing
,Sailor,To be written by player,Rural,Farsighted
,Outlander,To be written by player,Aporthecary,Specialized
,Noble,To be written by player,Transporter,Uncivilized
,Acolyte,To be written by player,Novitiate,Brawler
,Sailor,To be written by player,Military,Easygoing
,Far Traveler,To be written by player,White Collar,Uncivilized
,Acolyte,To be written by player,Entrepreneur,Aggression
,Far Traveler,To be written by player,Aporthecary,Slow
,Inheritor,To be written by player,Emergency Services,Easygoing
,Outlander,To be written by player,Aporthecary,Hard of hearing
,Criminal,To be written by player,Investigative,Absent-Minded
,Sage,To be written by player,Astronaut Trainee,Relentless
,Criminal,To be written by player,Emergency Services,Honest
,Criminal,To be written by player,Military,Focused
,Knight,To be written by player,Military,Honest
,Sage,To be written by player,Doctor,Inattentive
,Entertainer,To be written by player,Student,Uncivilized
,Soldier,To be written by player,Novitiate,Inattentive
,Charlatan,To be written by player,Shadow Scholar,Dishonesty
,Criminal,To be written by player,Criminal,Inattentive
,Haunted One,To be written by player,Outcast,Slow
,Outlander,To be written by player,Creative,Farsighted
,Outlander,To be written by player,Celebrity,Aggression
,Outlander,To be written by player,Drifter,Uncivilized
,Far Traveler,To be written by player,Astronaut Trainee,Brawler
,Far Traveler,To be written by player,Emergency Services, Illiterate
,Far Traveler,To be written by player,Law Enforcement,Slow
,Hermit,To be written by player,Entrepreneur,Easygoing
,Hermit,To be written by player,Drifter,Inattentive
,Hermit,To be written by player,Criminal, Illiterate
,Hermit,To be written by player,Creative,Absent-Minded
,Hermit,To be written by player,Blue Collar,Farsighted
,Hermit,To be written by player,Creative,Honest
,Far Traveler,To be written by player,Transporter,Relentless
,Far Traveler,To be written by player,Entrepreneur,Polite
,Far Traveler,To be written by player,Technician,Dishonesty
,Clan Crafter,To be written by player,Astronaut Trainee,Absent-Minded
,Clan Crafter,To be written by player,Heir,Hard of hearing
,Clan Crafter,To be written by player,Rural, Illiterate
,Folk Hero,To be written by player,Transporter,Focused
,Folk Hero,To be written by player,Rural,Absent-Minded
,Folk Hero,To be written by player,Emergency Services,Specialized
,Criminal,To be written by player,Scavenger,Hardy
,Criminal,To be written by player,Drifter,Dishonesty
,Criminal,To be written by player,Scavenger,Farsighted
,Noble,To be written by player,Squire,Distinctive
,Noble,To be written by player,Celebrity,Hard of hearing
,Noble,To be written by player,Doctor,Absent-Minded
,Outlander,To be written by player,Psychic,Abrasiveness
,Outlander,To be written by player,Technician,Hardy
,Outlander,To be written by player,Religious,Slow
,Outlander,To be written by player,Novitiate, Illiterate
,Sage,To be written by player,Transporter, Illiterate
,Sage,To be written by player,Law Enforcement, Illiterate
,Sage,To be written by player,Investigative,Easygoing
,Entertainer,To be written by player,Psychic,Abrasiveness
,Entertainer,To be written by player,Investigative,Inattentive
,Entertainer,To be written by player,Student,Distinctive
,Mercenary Veteran,To be written by player,Investigative,Specialized
,Mercenary Veteran,To be written by player,Doctor,Brawler
,Mercenary Veteran,To be written by player,Adventurer,Honest
,Acolyte,To be written by player,Athlete,Aggression
,Acolyte,To be written by player,Dilettante,Easygoing
,Acolyte,To be written by player,Technician,Focused
,Inheritor,To be written by player,Shadow Scholar,Focused
,Inheritor,To be written by player,Athlete,Hard of hearing
,Inheritor,To be written by player,Law Enforcement,Brawler
,Noble,To be written by player,Gladiator,Uncivilized
,Acolyte,To be written by player,Investigative, Illiterate
,Noble,To be written by player,Astronaut Trainee,Polite
,Noble,To be written by player,Hedge Wizard,Focused
,City Watch,To be written by player,Criminal,Farsighted
,City Watch,To be written by player,Transporter,Easygoing
,City Watch,To be written by player,Technician,Specialized
,Urchin,To be written by player,Investigative,Cautious
,Urchin,To be written by player,Law Enforcement,Specialized
,Urchin,To be written by player,Military,Dishonesty
,Acolyte,To be written by player,Creative,Honest
,Acolyte,To be written by player,Athlete, Illiterate
,Charlatan,To be written by player,Celebrity,Suspicious
,Charlatan,To be written by player,Rural,Focused
,Charlatan,To be written by player,Drifter,Abrasiveness
,Faction Agent,To be written by player,Athlete,Relentless
,Noble,To be written by player,Transporter,Hard of hearing
,Entertainer,To be written by player,Creative, Illiterate
,Outlander,To be written by player,Drifter,Uncivilized
,Hermit,To be written by player,Academic,Focused
,Far Traveler,To be written by player,Hedge Wizard,Absent-Minded
,Urban Bounty Hunter,To be written by player,Blue Collar,Honest
,Hermit,To be written by player,Entrepreneur,Inattentive
,Sage,To be written by player,Investigative,Focused
,Entertainer,To be written by player,Blue Collar, Illiterate
,Acolyte,To be written by player,Gladiator, Illiterate
,Soldier,To be written by player,Outcast,Detached
,Sailor,To be written by player,Drifter,Hard of hearing
,Sailor,To be written by player,Religious,Suspicious
,Hermit,To be written by player,Adventurer,Inattentive
,Hermit,To be written by player,Colonist, Illiterate
,Sage,To be written by player,Law Enforcement,Dishonesty
,Guild Artisan,To be written by player,Aporthecary,Detached
,Far Traveler,To be written by player,Technician,Honest
,Knight,To be written by player,Colonist,Dishonesty
,Entertainer,To be written by player,Student,Inattentive
,Hermit,To be written by player,Squire,Farsighted
,Far Traveler,To be written by player,Entrepreneur,Dishonesty
,Far Traveler,To be written by player,Hedge Wizard,Slow
,Barbarian Tribe Member,To be written by player,Gladiator,Slow
,Barbarian Tribe Member,To be written by player,Psychic,Easygoing
,Outlander,To be written by player,Blue Collar,Distinctive
,Outlander,To be written by player,Heir,Distinctive
,Outlander,To be written by player,Military,Abrasiveness
,Criminal,To be written by player,Transporter,Brawler
,Noble,To be written by player,Emergency Services,Farsighted
,Criminal,To be written by player,Shadow Scholar,Dishonesty
,Soldier,To be written by player,Celebrity,Inattentive
,Acolyte,To be written by player,Blue Collar,Distinctive
,Sage,To be written by player,Law Enforcement,Hardy
,Criminal,To be written by player,Adventurer,Uncivilized
,Criminal,To be written by player,Gladiator, Illiterate
,Charlatan,To be written by player,Doctor,Easygoing
,Outlander,To be written by player,Squire,Hardy
,Outlander,To be written by player,Investigative,Hard of hearing
,Entertainer,To be written by player,Rural,Specialized
,Outlander,To be written by player,Student,Honest
,Outlander,To be written by player,Creative,Focused
,Criminal,To be written by player,Dilettante,Relentless
,Acolyte,To be written by player,Law Enforcement,Specialized
,Soldier,To be written by player,Astronaut Trainee,Distinctive
,Knight,To be written by player,Squire,Suspicious
,Mercenary Veteran,To be written by player,Religious,Hard of hearing
,Mercenary Veteran,To be written by player,Athlete,Suspicious
,Soldier,To be written by player,Adventurer, Illiterate
,Soldier,To be written by player,Religious,Specialized
,Urban Bounty Hunter,To be written by player,Celebrity,Easygoing
,Courtier,To be written by player,Hedge Wizard,Focused
,Sage,To be written by player,Drifter,Cautious
,,To be written by player,White Collar,Absent-Minded
,,To be written by player,Technician,Specialized
,Charlatan,To be written by player,Doctor,Inattentive
,Mercenary Veteran,To be written by player,Squire, Illiterate
,Mercenary Veteran,To be written by player,Investigative,Absent-Minded
,Hermit,To be written by player,Hedge Wizard,Uncivilized
,Charlatan,To be written by player,Shadow Scholar,Polite
,Soldier,To be written by player,Law Enforcement,Detached
,Noble,To be written by player,Hedge Wizard,Relentless
,Acolyte,To be written by player,Aporthecary,Farsighted
,Knight,To be written by player,Gladiator,Aggression
,Folk Hero,To be written by player,Law Enforcement,Aggression
,Criminal,To be written by player,Emergency Services,Absent-Minded
,Outlander,To be written by player,Academic,Easygoing
,Barbarian Tribe Member,To be written by player,Hedge Wizard,Brawler
,Folk Hero,To be written by player,Celebrity,Farsighted
,City Watch,To be written by player,Adventurer,Focused
,City Watch,To be written by player,Law Enforcement,Slow
,Sailor,To be written by player,Drifter,Farsighted
,Courtier,To be written by player,Hedge Wizard,Polite
,Outlander,To be written by player,Religious,Aggression
,Noble,To be written by player,Entrepreneur,Uncivilized
,Sage,To be written by player,Academic,Uncivilized
,Hermit,To be written by player,Military,Focused
,Entertainer,To be written by player,Entrepreneur, Illiterate
,Fisher,To be written by player,Heir,Farsighted
,Hermit,To be written by player,Shadow Scholar,Slow
,Soldier,To be written by player,Adventurer,Detached
,Sage,To be written by player,Shadow Scholar,Aggression
,Folk Hero,To be written by player,Military,Cautious
,Urban Bounty Hunter,To be written by player,Drifter,Uncivilized
,Urban Bounty Hunter,To be written by player,Law Enforcement,Focused
,Custom,To be written by player,Law Enforcement,Easygoing
,Noble,To be written by player,Drifter,Easygoing
,Entertainer,To be written by player,Celebrity,Detached
,Urban Bounty Hunter,To be written by player,Scavenger,Inattentive
,Outlander,To be written by player,Technician,Hardy
,Outlander,To be written by player,Religious,Focused
,Faction Agent,To be written by player,Gladiator,Aggression
,Entertainer,To be written by player,Academic,Relentless
,Hermit,To be written by player,Dilettante,Aggression
,Criminal,To be written by player,Emergency Services,Relentless
,Soldier,To be written by player,Blue Collar,Brawler
,Sage,To be written by player,Dilettante,Relentless
,Hermit,To be written by player,Military,Brawler
,Folk Hero,To be written by player,White Collar,Brawler
,Folk Hero,To be written by player,Emergency Services,Abrasiveness
,Folk Hero,To be written by player,Religious, Illiterate
,Far Traveler,To be written by player,Athlete,Suspicious
,Outlander,To be written by player,Heir,Polite
,Soldier,To be written by player,Shadow Scholar,Specialized
,Custom,To be written by player,Rural,Uncivilized
,Guild Artisan,To be written by player,Investigative,Aggression
,Acolyte,To be written by player,Entrepreneur, Illiterate
,Outlander,To be written by player,Colonist,Brawler
,Acolyte,To be written by player,Squire,Detached
,Sailor,To be written by player,Gladiator,Abrasiveness
,Urchin,To be written by player,Athlete,Focused
,Sage,To be written by player,Gladiator, Illiterate
,Sage,To be written by player,Adventurer,Honest
,Far Traveler,To be written by player,Novitiate,Dishonesty
,Mercenary Veteran,To be written by player,Criminal,Relentless
,Noble,To be written by player,Scavenger,Aggression
,Haunted One,To be written by player,White Collar,Aggression
,Soldier,To be written by player,Emergency Services,Hard of hearing
,Criminal,To be written by player,Emergency Services,Relentless
,Outlander,To be written by player,Doctor,Detached
,Charlatan,To be written by player,Student,Aggression
,Charlatan,To be written by player,Outcast,Slow
,Acolyte,To be written by player,Shadow Scholar,Easygoing
,Charlatan,To be written by player,Technician,Focused
,Charlatan,To be written by player,Aporthecary,Hardy
,Entertainer,To be written by player,Athlete,Suspicious
,Criminal,To be written by player,Academic,Inattentive
,Outlander,To be written by player,Rural,Focused
,Outlander,To be written by player,Drifter,Focused
,Hermit,To be written by player,Military,Inattentive
,Custom,To be written by player,Student,Aggression
,Soldier,To be written by player,Athlete,Polite
,Soldier,To be written by player,Astronaut Trainee,Abrasiveness
,Charlatan,To be written by player,White Collar,Uncivilized
,Noble,To be written by player,Outcast,Easygoing
,Acolyte,To be written by player,Entrepreneur,Relentless
,Custom,To be written by player,Hedge Wizard,Abrasiveness
,Hermit,To be written by player,Investigative, Illiterate
,Custom,To be written by player,Transporter,Absent-Minded
,Noble,To be written by player,Squire,Inattentive
,Outlander,To be written by player,Technician,Distinctive
,Folk Hero,To be written by player,Academic,Hard of hearing
,Acolyte,To be written by player,Outcast,Slow
,Criminal,To be written by player,Transporter,Distinctive
,Outlander,To be written by player,Aporthecary,Polite
,Urban Bounty Hunter,To be written by player,Investigative,Specialized
,Knight,To be written by player,Psychic,Brawler
,Criminal,To be written by player,Aporthecary,Brawler
,Sage,To be written by player,Outcast,Polite
,Noble,To be written by player,Doctor,Focused
,Soldier,To be written by player,Scavenger,Detached
,Custom,To be written by player,Blue Collar,Absent-Minded
,City Watch,To be written by player,Aporthecary,Detached
,Soldier,To be written by player,Astronaut Trainee,Aggression
,Custom,To be written by player,Criminal,Absent-Minded
,Charlatan,To be written by player,Squire,Detached
,Cloistered Scholar,To be written by player,Blue Collar,Inattentive
,Cloistered Scholar,To be written by player,Novitiate,Cautious
,Acolyte,To be written by player,White Collar,Aggression
,Criminal,To be written by player,Gladiator,Slow
,Criminal,To be written by player,Transporter,Uncivilized
,Acolyte,To be written by player,White Collar,Brawler
,Soldier,To be written by player,Doctor, Illiterate
,Charlatan,To be written by player,Doctor,Inattentive
,Soldier,To be written by player,Blue Collar, Illiterate
,Soldier,To be written by player,Squire,Farsighted
,Folk Hero,To be written by player,Drifter,Uncivilized
,Mercenary Veteran,To be written by player,Emergency Services,Specialized
,Mercenary Veteran,To be written by player,Gladiator,Inattentive
,Outlander,To be written by player,Blue Collar,Hard of hearing
,Mercenary Veteran,To be written by player,Adventurer,Suspicious
,Far Traveler,To be written by player,Novitiate,Detached
,Acolyte,To be written by player,Academic,Inattentive
,Acolyte,To be written by player,Religious,Cautious
,Soldier,To be written by player,Hedge Wizard,Hard of hearing
,Acolyte,To be written by player,Colonist,Dishonesty
,Far Traveler,To be written by player,Academic,Focused
,Mercenary Veteran,To be written by player,Academic,Cautious
,Far Traveler,To be written by player,Student,Specialized
,Charlatan,To be written by player,Entrepreneur, Illiterate
,Urchin,To be written by player,Hedge Wizard,Distinctive
,Far Traveler,To be written by player,Gladiator,Farsighted
,Acolyte,To be written by player,Scavenger,Focused
,Hermit,To be written by player,Psychic,Aggression
,Criminal,To be written by player,Astronaut Trainee,Specialized
,Far Traveler,To be written by player,Criminal,Absent-Minded
,Outlander,To be written by player,Heir,Uncivilized
,Soldier,To be written by player,Outcast,Farsighted
,Hermit,To be written by player,Creative,Uncivilized
,Charlatan,To be written by player,Academic,Specialized
,Entertainer,To be written by player,Astronaut Trainee,Detached
,Inheritor,To be written by player,Shadow Scholar,Focused
,Haunted One,To be written by player,Astronaut Trainee,Distinctive
,Folk Hero,To be written by player,Religious,Inattentive
,Soldier,To be written by player,Blue Collar,Easygoing
,Soldier,To be written by player,White Collar,Farsighted
,Knight,To be written by player,Military,Hardy
,Guild Member - Harmony,To be written by player,Academic,Easygoing
,Noble,To be written by player,Aporthecary,Slow
,Far Traveler,To be written by player,Law Enforcement, Illiterate
,Knight,To be written by player,Religious,Relentless
,Clan Crafter,To be written by player,Psychic,Focused
,Criminal,To be written by player,Shadow Scholar,Focused
,Acolyte,To be written by player,White Collar,Hard of hearing
,Outlander,To be written by player,Novitiate,Detached
,Soldier - Healer,To be written by player,Technician,Polite
,Outlander,To be written by player,Rural,Brawler
,Urban Bounty Hunter,To be written by player,Gladiator,Inattentive
,Urban Bounty Hunter,To be written by player,Dilettante,Suspicious
,Soldier,To be written by player,Aporthecary,Inattentive
,Courtier,To be written by player,Investigative,Aggression
,Folk Hero,To be written by player,Shadow Scholar, Illiterate
,Guild Artisan,To be written by player,Drifter,Aggression
,Outlander,To be written by player,Investigative,Detached
,Charlatan,To be written by player,Student,Easygoing
,Charlatan,To be written by player,Blue Collar, Illiterate
,Folk Hero,To be written by player,Academic,Easygoing
,Entertainer,To be written by player,Technician,Focused
,Folk Hero,To be written by player,Rural,Cautious
,Mercenary Veteran,To be written by player,Aporthecary,Specialized
,Soldier,To be written by player,White Collar,Slow
,Soldier,To be written by player,Transporter,Hardy
,Urban Bounty Hunter,To be written by player,Drifter,Slow
,Knight,To be written by player,Academic,Dishonesty
,Knight,To be written by player,Investigative,Suspicious
,Knight,To be written by player,Psychic,Hardy
,Custom,To be written by player,Heir,Cautious
,Haunted One,To be written by player,Drifter,Aggression
,Sailor,To be written by player,Blue Collar,Brawler
,Sailor,To be written by player,Dilettante,Inattentive
,Folk Hero,To be written by player,Celebrity,Detached
,Tinkerer,To be written by player,Doctor,Distinctive
,Outlander,To be written by player,Heir,Inattentive
,Far Traveler,To be written by player,Student,Uncivilized
,Haunted One,To be written by player,Transporter,Honest
,Acolyte,To be written by player,Investigative,Relentless
,Hermit,To be written by player,Military,Dishonesty
,Acolyte,To be written by player,Creative,Specialized
,Acolyte,To be written by player,Investigative,Abrasiveness
,Faction Agent,To be written by player,Technician,Relentless
,Charlatan,To be written by player,Novitiate, Illiterate
,Outlander,To be written by player,Drifter,Detached
,Custom,To be written by player,Astronaut Trainee,Slow
,,To be written by player,Student,Honest
,Hermit,To be written by player,Religious, Illiterate
,Custom,To be written by player,Outcast,Dishonesty
,Soldier,To be written by player,Criminal,Relentless
,Acolyte,To be written by player,Technician,Specialized
,Outlander,To be written by player,Novitiate,Hard of hearing
,Sage,To be written by player,Religious,Uncivilized
,Mercenary Veteran,To be written by player,Gladiator,Polite
,Entertainer,To be written by player,Blue Collar,Cautious
,Urban Bounty Hunter,To be written by player,Academic,Polite
,Urban Bounty Hunter,To be written by player,Athlete,Detached
,City Watch,To be written by player,Celebrity,Inattentive
,Hermit,To be written by player,Heir,Absent-Minded
,Sailor,To be written by player,Colonist,Focused
,Urchin,To be written by player,Aporthecary,Aggression
,Soldier,To be written by player,Creative,Distinctive
,Hermit,To be written by player,Astronaut Trainee,Inattentive
,Sailor,To be written by player,Hedge Wizard,Dishonesty
,Soldier,To be written by player,Doctor,Hard of hearing
,Far Traveler,To be written by player,Dilettante,Brawler
,Sailor,To be written by player,Entrepreneur,Detached
,Outlander,To be written by player,Technician,Easygoing
,Outlander,To be written by player,Military, Illiterate
,Hermit,To be written by player,Aporthecary,Detached
,Outlander,To be written by player,Transporter,Dishonesty
,Soldier,To be written by player,Doctor, Illiterate
,Haunted One,To be written by player,Rural,Specialized
,Haunted One,To be written by player,Outcast,Dishonesty
,Urban Bounty Hunter,To be written by player,Blue Collar,Hard of hearing
,Sage,To be written by player,Doctor,Relentless
,Charlatan,To be written by player,Novitiate,Slow
,Charlatan,To be written by player,Rural,Easygoing
,Guild Artisan,To be written by player,Transporter,Slow
,Criminal,To be written by player,Academic,Absent-Minded
,Barbarian Tribe Member,To be written by player,Outcast,Brawler
,Outlander,To be written by player,Heir,Suspicious
,Outlander,To be written by player,Transporter,Suspicious
,Soldier,To be written by player,Athlete,Hard of hearing
,Outlander,To be written by player,Investigative,Absent-Minded
,Entertainer,To be written by player,Celebrity,Aggression
,Noble,To be written by player,Technician,Focused
,Acolyte,To be written by player,Scavenger,Hard of hearing
,Cloistered Scholar,To be written by player,Student,Hard of hearing
,Urban Bounty Hunter,To be written by player,Gladiator,Farsighted
,Urchin,To be written by player,Athlete,Polite
,Criminal,To be written by player,Drifter,Distinctive
,Far Traveler,To be written by player,Law Enforcement,Easygoing
,Mercenary Veteran,To be written by player,Shadow Scholar,Farsighted
,Far Traveler,To be written by player,White Collar,Relentless
,Outlander,To be written by player,Student,Dishonesty
,Courtier,To be written by player,Investigative,Farsighted
,Soldier,To be written by player,Transporter,Inattentive
,Urban Bounty Hunter,To be written by player,Transporter,Focused
,Courtier,To be written by player,Academic,Relentless
,Mercenary Veteran,To be written by player,Drifter,Focused
,Criminal,To be written by player,Celebrity,Slow
,Soldier,To be written by player,Criminal,Detached
,Haunted One,To be written by player,Blue Collar,Inattentive
,Entertainer,To be written by player,Scavenger,Dishonesty
,Acolyte,To be written by player,Adventurer,Focused
,Haunted One,To be written by player,Squire, Illiterate
,Sailor,To be written by player,Scavenger,Distinctive
,Noble,To be written by player,Academic,Easygoing
,Courtier,To be written by player,Blue Collar, Illiterate
,Outlander,To be written by player,Entrepreneur,Abrasiveness
,Sage,To be written by player,Emergency Services,Abrasiveness
,Noble,To be written by player,Shadow Scholar,Slow
,Urchin,To be written by player,Military,Farsighted
,Barbarian Tribe Member,To be written by player,Investigative,Suspicious
,Sage,To be written by player,Transporter,Abrasiveness
,Urchin,To be written by player,Hedge Wizard,Honest
,Charlatan,To be written by player,Gladiator,Absent-Minded
,Urban Bounty Hunter,To be written by player,Military,Dishonesty
,Noble,To be written by player,Hedge Wizard,Suspicious
,Outlander,To be written by player,Academic,Hardy
,Noble,To be written by player,Technician,Uncivilized
,Noble,To be written by player,Religious,Dishonesty
,Urban Bounty Hunter,To be written by player,Adventurer,Relentless
,Criminal,To be written by player,Law Enforcement,Cautious
,Outlander,To be written by player,Squire,Easygoing
,Charlatan,To be written by player,Athlete,Uncivilized
,Criminal,To be written by player,Shadow Scholar,Slow
,Noble,To be written by player,Celebrity,Farsighted
,Urchin,To be written by player,Blue Collar,Inattentive
,Hermit,To be written by player,Outcast,Cautious
,Soldier,To be written by player,Military,Aggression
,Outlander,To be written by player,Student,Specialized
,Barbarian Tribe Member,To be written by player,Novitiate,Aggression
,Sailor,To be written by player,Hedge Wizard,Inattentive
,Inheritor,To be written by player,Entrepreneur,Easygoing
,Urchin,To be written by player,Rural,Detached
,Urban Bounty Hunter,To be written by player,Athlete,Easygoing
,Charlatan,To be written by player,Emergency Services,Polite
,Custom,To be written by player,Astronaut Trainee,Inattentive
,Urchin,To be written by player,Heir,Detached
,Urchin,To be written by player,Aporthecary,Specialized
,Entertainer,To be written by player,Aporthecary,Honest
,Sage,To be written by player,Criminal,Easygoing
,Outlander,To be written by player,Adventurer,Brawler
,Spirit Reaver,To be written by player,Astronaut Trainee,Specialized
,Acolyte,To be written by player,Creative,Distinctive
,Outlander,To be written by player,Doctor,Farsighted
,Sage,To be written by player,Rural,Hard of hearing
,Sage,To be written by player,Investigative,Specialized
,Acolyte,To be written by player,Criminal,Easygoing
,Courtier,To be written by player,Heir,Brawler
,Urchin,To be written by player,Investigative,Hard of hearing
,Urban Bounty Hunter,To be written by player,Dilettante,Absent-Minded
,Acolyte,To be written by player,Law Enforcement, Illiterate
,Soldier,To be written by player,Technician,Specialized
,Sailor,To be written by player,Shadow Scholar,Suspicious
,Acolyte,To be written by player,Hedge Wizard,Brawler
,Hermit,To be written by player,Technician,Suspicious
,Folk Hero,To be written by player,Aporthecary,Focused
,Guild Member - Spycraft,To be written by player,Entrepreneur, Illiterate
,Criminal,To be written by player,Scavenger,Inattentive
,Folk Hero,To be written by player,Transporter,Inattentive
,Noble,To be written by player,Athlete,Absent-Minded
,Hermit,To be written by player,Military,Detached
,Acolyte,To be written by player,Outcast,Uncivilized
,Charlatan,To be written by player,Heir,Aggression
,Custom,To be written by player,White Collar,Slow
,Custom,To be written by player,Astronaut Trainee,Aggression
,Barbarian Tribe Member,To be written by player,Scavenger,Hard of hearing
,Outlander,To be written by player,Law Enforcement,Suspicious
,Outlander,To be written by player,Shadow Scholar,Absent-Minded
,Soldier,To be written by player,White Collar,Dishonesty
,Sailor,To be written by player,Astronaut Trainee,Polite
,Outlander,To be written by player,Investigative,Cautious
,Hermit,To be written by player,Heir,Relentless
,Outlander,To be written by player,Dilettante,Abrasiveness
,Haunted One,To be written by player,Novitiate,Inattentive
,Far Traveler,To be written by player,Psychic,Aggression
,Barbarian Tribe Member,To be written by player,Gladiator,Polite
,Acolyte,To be written by player,Creative, Illiterate
,Barbarian Tribe Member,To be written by player,Novitiate,Suspicious
,Outlander,To be written by player,Novitiate, Illiterate
,Faction Agent,To be written by player,Psychic,Easygoing
,Outlander,To be written by player,Creative,Distinctive
,Barbarian Tribe Member,To be written by player,Hedge Wizard,Aggression
,Hermit,To be written by player,Criminal,Brawler
,Knight,To be written by player,Outcast,Hardy
,Outlander,To be written by player,Investigative,Easygoing
,Criminal,To be written by player,Religious,Easygoing
,Sage,To be written by player,Psychic,Aggression
,Far Traveler,To be written by player,Entrepreneur,Suspicious
,Cloistered Scholar,To be written by player,Rural,Cautious
,Sage,To be written by player,Technician, Illiterate
,Sage,To be written by player,Creative,Aggression
,Charlatan,To be written by player,Drifter,Focused
,Urchin,To be written by player,Rural,Easygoing
,Criminal,To be written by player,Colonist,Detached
,Folk Hero,To be written by player,Religious,Focused
,Noble,To be written by player,Squire,Uncivilized
,Hermit,To be written by player,Adventurer,Brawler
,Soldier,To be written by player,Celebrity,Honest
,Hermit,To be written by player,Outcast,Slow
,Acolyte,To be written by player,Athlete,Brawler
,Charlatan,To be written by player,Drifter,Aggression
,Outlander,To be written by player,Drifter,Relentless
,Sage,To be written by player,Psychic,Suspicious
,Urchin,To be written by player,Outcast,Specialized
,Sailor,To be written by player,Heir,Absent-Minded
,Sailor,To be written by player,Doctor,Polite
,Urchin,To be written by player,Criminal,Brawler
,Hermit,To be written by player,Technician,Relentless
,Folk Hero,To be written by player,Aporthecary,Inattentive
,Hermit,To be written by player,Celebrity,Dishonesty
,Knight,To be written by player,Academic,Farsighted
,Cloistered Scholar,To be written by player,Shadow Scholar,Inattentive
,Sage,To be written by player,Shadow Scholar,Hardy
,Sage,To be written by player,Colonist,Honest
,Haunted One,To be written by player,Military,Cautious
,Haunted One,To be written by player,Squire,Polite
,Outlander,To be written by player,Hedge Wizard,Uncivilized
,Hermit,To be written by player,Adventurer,Distinctive
,Far Traveler,To be written by player,Squire,Hard of hearing
,Acolyte,To be written by player,Dilettante,Absent-Minded
,Sailor,To be written by player,Entrepreneur,Specialized
,Far Traveler,To be written by player,Creative, Illiterate
,Folk Hero,To be written by player,Religious,Easygoing
,Entertainer,To be written by player,Gladiator,Slow
,Acolyte,To be written by player,Novitiate,Dishonesty
,Haunted One,To be written by player,Astronaut Trainee,Relentless
,Soldier,To be written by player,Celebrity,Cautious
,Acolyte,To be written by player,Hedge Wizard,Focused
,Sage,To be written by player,Doctor,Dishonesty
,Charlatan,To be written by player,Scavenger,Relentless
,Charlatan,To be written by player,Adventurer,Inattentive
,Charlatan,To be written by player,Scavenger,Inattentive
,Charlatan,To be written by player,Shadow Scholar,Focused
,Charlatan,To be written by player,Outcast,Hard of hearing
,Criminal,To be written by player,Student,Relentless
,Criminal,To be written by player,Athlete,Suspicious
,Outlander,To be written by player,Dilettante,Focused
,Noble,To be written by player,Dilettante,Absent-Minded
,Criminal,To be written by player,Emergency Services,Focused
,Noble,To be written by player,Dilettante,Hard of hearing
,Sailor,To be written by player,Outcast,Polite
,Sailor,To be written by player,Hedge Wizard,Suspicious
,Acolyte,To be written by player,Novitiate,Dishonesty
,Soldier,To be written by player,Scavenger,Easygoing
,Entertainer,To be written by player,Astronaut Trainee, Illiterate
,Criminal,To be written by player,Shadow Scholar,Suspicious
,Charlatan,To be written by player,Scavenger,Inattentive
