Spell_ID,Spell_Name,Type,Level,Components,Range,Duration,Casting_Time
,Arcane Eye,Illusions,2,v,120,0,0
,Clairvoyance,Abjuration,7,v,120,120,0
,Hideous Laughter,Conjuration,3,s,120,0,0
,Arcane Eye,Enchantment,3,v s m,0,30,10
,Enthrall,Enchantment,6,s,90,90,8
,Animate dead,Divination,4,v s,0,30,10
,Beacon of Hope,Conjuration,9,s,30,0,8
,Arcane Hand,Divination,7,s,120,0,8
,Secret Chest,Necromancy,4,v,60,60,8
,Acid Arrow,Transmutation,3,s,90,60,1
,Aid,Divination,7,s,0,120,0
,Antipathy Sympathy,Abjuration,8,m,60,0,10
,Secret Chest,Divination,6,v s,60,30,10
,Insect Plague,Enchantment,2,m,90,30,0
,Animal Friendship,Enchantment,9,s,30,60,1
,Sequester,Illusions,7,s,120,90,1
,Color Spray,Enchantment,2,v,60,0,0
,Beacon of Hope,Divination,3,v s,0,120,10
,Fireball,Abjuration,4,v s m,120,90,0
,Animal Messenger,Enchantment,7,s,60,90,8
,Clone,Conjuration,2,v s,60,60,10
,Freezing Sphere,Abjuration,9,m,30,90,10
,Entangle,Conjuration,9,m,30,60,10
,Secret Chest,Necromancy,6,v s m,30,90,8
,Inflict Wounds,Divination,10,m,90,30,10
,Fireball,Illusions,8,s,60,90,8
,Antlife Shell,Divination,6,v,90,60,8
,Acid Splash,Divination,6,v s m,0,60,0
,Animate dead,Necromancy,5,v,60,30,0
,Sequester,Illusions,3,v s m,60,30,10
,Sequester,Transmutation,1,v s,90,30,0
,Fly,Abjuration,6,m,60,30,1
,Color Spray,Conjuration,4,v s,120,120,10
,Fireball,Transmutation,10,m,30,90,10
,Arcane Lock,Illusions,2,m,60,120,0
,Banishment,Transmutation,10,v s m,30,120,1
,Rope Trick,Necromancy,3,v s m,30,90,1
,Rope Trick,Transmutation,8,v,0,0,8
,Fireball,Conjuration,8,v s,120,0,8
,Fly,Necromancy,8,v,60,90,1
,Clairvoyance,Conjuration,7,s,30,0,10
,Banishment,Conjuration,6,s,0,90,10
,Clairvoyance,Evocation,4,v s m,0,120,10
,Arcane Eye,Divination,7,v s m,90,0,8
,Arcane Eye,Illusions,10,v,0,30,8
,Antlife Shell,Enchantment,5,v s m,0,90,0
,Enthrall,Necromancy,9,v s,0,90,0
,Banishment,Enchantment,6,v s m,60,0,0
,Clairvoyance,Divination,8,v s,60,30,10
,Banishment,Divination,7,m,30,60,8
,Animate Objects,Transmutation,2,v s m,0,120,10
,Entangle,Illusions,6,v s m,0,30,10
,Aid,Transmutation,9,m,60,30,10
,Animate Objects,Enchantment,9,v s,0,0,0
,Alter Self,Illusions,8,m,90,30,10
,Acid Splash,Divination,2,m,90,30,0
,Antlife Shell,Evocation,5,v s m,30,0,10
,Hideous Laughter,Abjuration,2,s,120,30,10
,Entangle,Evocation,8,s,30,90,10
,Harm,Conjuration,10,m,30,60,0
,Arcane Eye,Conjuration,2,v s,30,0,1
,Animal Friendship,Abjuration,2,v s,90,0,8
,Animal Friendship,Illusions,3,m,90,30,10
,Antimagic Field,Abjuration,5,s,0,0,8
,Sequester,Enchantment,7,m,60,0,0
,Arcane Hand,Abjuration,2,v s,60,60,1
,Beacon of Hope,Conjuration,3,v s m,30,60,8
,Clairvoyance,Divination,9,v,90,30,10
,Sequester,Transmutation,8,v s m,30,30,10
,Rope Trick,Illusions,1,v,30,120,0
,Acid Arrow,Conjuration,3,v s m,120,0,8
,Antlife Shell,Transmutation,2,m,120,60,8
,Animal Shape,Illusions,4,s,0,30,1
,Harm,Conjuration,9,m,0,30,10
,Entangle,Evocation,1,v,0,60,0
,Gust of Wind,Enchantment,9,v,30,30,10
,Haste,Conjuration,6,v s,0,120,1
,Hideous Laughter,Evocation,5,v s,30,30,1
,Sequester,Divination,4,m,120,120,8
,Secret Chest,Illusions,6,v s,120,30,8
,Fly,Conjuration,5,v,90,120,1
,Antlife Shell,Illusions,9,v s m,60,120,1
,Animate Objects,Illusions,2,v s m,30,90,8
,Animate Objects,Abjuration,1,v s m,30,120,0
,Bane,Transmutation,2,v s,90,90,10
,Hideous Laughter,Enchantment,2,v s m,120,0,0
,Arcane Eye,Evocation,4,m,60,0,8
,Antipathy Sympathy,Necromancy,2,s,30,30,0
,Animal Shape,Evocation,6,m,120,120,10
,Alter Self,Necromancy,9,v s,60,90,8
,Animate dead,Transmutation,3,v s m,90,0,8
,Animate Objects,Conjuration,7,m,60,90,10
,Color Spray,Divination,3,v s m,60,90,0
,Enthrall,Illusions,8,m,90,120,0
,Arcane Lock,Evocation,9,v s,120,0,1
,Entangle,Illusions,7,m,30,30,10
,Fly,Evocation,10,v s m,90,60,8
,Acid Splash,Illusions,3,s,120,120,10
,Animal Friendship,Divination,7,m,0,90,0
,Arcane Hand,Abjuration,7,m,60,0,10
,Harm,Illusions,10,s,90,60,8
,Animal Messenger,Abjuration,5,v s m,30,120,0
,Acid Splash,Necromancy,10,v s m,0,0,0
,Color Spray,Abjuration,6,v,30,120,0
,Secret Chest,Necromancy,3,v s m,120,0,10
,Aid,Enchantment,1,s,30,120,0
,Acid Splash,Conjuration,1,m,60,30,10
,Prismatic Wall,Evocation,5,v,30,120,8
,Color Spray,Evocation,6,v,90,60,0
,Animal Messenger,Conjuration,5,m,0,90,10
,Clone,Transmutation,1,m,90,30,10
,Acid Arrow,Abjuration,8,v,120,120,0
,Insect Plague,Conjuration,6,s,0,60,0
,Fireball,Abjuration,9,v,60,60,10
,Fireball,Enchantment,10,m,90,0,0
,Acid Splash,Transmutation,1,m,30,90,1
,Animal Messenger,Transmutation,8,v,120,0,1
,Animal Friendship,Evocation,5,v,90,0,1
,Gust of Wind,Transmutation,6,v s m,60,60,10
,Alarm,Evocation,7,v s m,120,60,0
,Aid,Conjuration,9,v s m,0,0,0
,Animate Objects,Enchantment,3,v s,120,60,1
,Animal Friendship,Transmutation,5,s,30,30,8
,Acid Arrow,Illusions,4,m,60,60,0
,Beacon of Hope,Abjuration,10,v s m,0,60,8
,Animal Messenger,Abjuration,5,s,60,60,0
,Animal Shape,Transmutation,6,v s m,30,120,8
,Secret Chest,Enchantment,1,s,60,60,8
,Entangle,Necromancy,9,v,90,0,0
,Hideous Laughter,Abjuration,5,v s,60,60,8
,Alter Self,Conjuration,7,s,120,90,10
,Arcane Eye,Evocation,7,s,90,120,0
,Bane,Necromancy,6,m,120,30,1
,Haste,Enchantment,3,v s,60,90,1
,Harm,Illusions,3,m,0,30,10
,Haste,Abjuration,7,v,30,60,10
,Harm,Conjuration,3,v s,30,90,8
,Arcane Hand,Evocation,9,v s,0,90,1
,Alter Self,Necromancy,8,m,30,30,8
,Entangle,Divination,3,v,120,120,1
,Arcane Sword,Abjuration,10,s,120,60,8
,Hideous Laughter,Transmutation,4,s,0,30,10
,Animate Objects,Divination,6,v,30,0,1
,Sequester,Evocation,5,s,120,0,0
,Bane,Enchantment,3,m,60,30,0
,Sequester,Abjuration,9,m,60,120,10
,Entangle,Illusions,4,s,120,60,8
,Banishment,Conjuration,10,s,90,60,1
,Insect Plague,Necromancy,9,v s,0,90,0
,Rope Trick,Enchantment,10,v,0,120,10
,Inflict Wounds,Transmutation,7,s,30,90,0
,Arcane Hand,Transmutation,1,v s m,90,60,0
,Animal Messenger,Illusions,10,m,90,120,8
,Gust of Wind,Divination,1,v s,90,0,8
,Antimagic Field,Necromancy,10,v,60,120,0
,Animal Friendship,Transmutation,6,v s m,30,60,8
,Animal Messenger,Illusions,7,m,60,90,8
,Inflict Wounds,Conjuration,4,v s m,30,120,1
,Secret Chest,Necromancy,6,v s m,90,90,0
,Gust of Wind,Enchantment,4,v,0,30,10
,Antipathy Sympathy,Divination,5,s,30,120,10
,Animate Objects,Divination,9,v,0,120,10
,Clone,Divination,6,m,120,30,10
,Clone,Enchantment,1,v s,60,90,1
,Aid,Evocation,8,v,0,0,0
,Animal Friendship,Illusions,3,s,90,90,8
,Prismatic Wall,Necromancy,5,v,60,60,1
,Gust of Wind,Evocation,2,v,30,0,8
,Insect Plague,Evocation,4,v,90,30,1
,Acid Arrow,Abjuration,1,v s,0,90,0
,Arcane Hand,Conjuration,5,v s m,0,90,1
,Secret Chest,Evocation,2,m,120,90,10
,Harm,Illusions,8,v s m,60,120,8
,Inflict Wounds,Divination,1,s,30,0,1
,Antipathy Sympathy,Transmutation,6,m,0,120,10
,Animal Shape,Divination,2,v s m,60,60,8
,Antimagic Field,Necromancy,1,v s m,120,30,0
,Color Spray,Abjuration,8,v,90,30,1
,Freezing Sphere,Divination,4,s,0,60,8
,Antlife Shell,Abjuration,7,m,60,0,1
,Acid Splash,Divination,5,s,90,30,8
,Clone,Divination,3,v s,90,60,10
,Fireball,Divination,7,v s,90,0,8
,Animate dead,Transmutation,2,m,30,0,8
,Antipathy Sympathy,Divination,8,v s,90,120,8
,Inflict Wounds,Enchantment,9,m,60,60,10
,Hideous Laughter,Abjuration,5,v s,0,60,8
,Harm,Necromancy,2,s,120,90,10
,Arcane Eye,Abjuration,10,v s m,0,90,1
,Acid Arrow,Enchantment,3,v s m,90,0,0
,Freezing Sphere,Abjuration,2,m,0,0,10
,Beacon of Hope,Necromancy,5,v s,90,30,8
,Color Spray,Conjuration,7,s,30,0,0
,Enthrall,Abjuration,9,v s,120,30,10
,Haste,Enchantment,5,m,60,60,8
,Gust of Wind,Necromancy,5,v,0,0,1
,Alarm,Conjuration,9,s,0,90,1
,Animal Shape,Abjuration,10,v s m,30,90,8
,Arcane Eye,Conjuration,7,v,120,30,1
,Enthrall,Abjuration,1,s,120,60,0
,Animate Objects,Conjuration,1,s,30,90,1
,Clone,Evocation,6,s,60,120,10
,Bane,Necromancy,1,m,60,60,10
,Alarm,Divination,8,v s,120,120,8
,Insect Plague,Conjuration,6,s,120,30,8
,Animal Friendship,Enchantment,4,v,90,60,1
,Prismatic Wall,Abjuration,8,v s,0,90,8
,Rope Trick,Conjuration,5,m,60,0,8
,Alarm,Divination,7,v,90,60,0
,Clairvoyance,Evocation,5,m,0,60,0
,Aid,Transmutation,8,m,30,90,8
,Clone,Evocation,5,m,0,120,8
,Prismatic Wall,Divination,6,s,0,60,0
,Banishment,Conjuration,6,v s m,30,60,1
,Insect Plague,Illusions,1,v s,30,120,8
,Acid Splash,Transmutation,2,s,30,0,10
,Acid Arrow,Necromancy,5,v,30,30,10
,Clairvoyance,Evocation,4,s,120,90,10
,Fly,Evocation,10,v,0,0,8
,Arcane Lock,Divination,3,s,60,60,8
,Clone,Conjuration,7,v s m,30,30,0
,Prismatic Wall,Illusions,1,v s,120,0,0
,Clone,Evocation,6,v s m,120,90,1
,Animal Messenger,Abjuration,1,m,0,30,1
,Arcane Hand,Conjuration,10,v s,30,120,8
,Sequester,Abjuration,6,v s,90,90,1
,Insect Plague,Conjuration,9,v s m,90,30,10
,Gust of Wind,Conjuration,6,m,60,60,1
,Prismatic Wall,Illusions,9,v,0,0,8
,Freezing Sphere,Evocation,1,m,30,30,8
,Fireball,Enchantment,10,v s m,0,120,8
,Alter Self,Abjuration,1,v s,60,120,8
,Freezing Sphere,Illusions,9,s,90,60,10
,Inflict Wounds,Necromancy,1,s,120,90,10
,Fireball,Divination,1,m,90,90,8
,Arcane Hand,Transmutation,2,m,120,0,10
,Arcane Hand,Enchantment,1,v,60,0,0
,Harm,Illusions,9,m,120,0,0
,Bane,Illusions,10,v s,60,30,1
,Arcane Lock,Divination,7,m,120,60,8
,Animal Messenger,Necromancy,5,v,60,90,1
,Clone,Enchantment,1,v s m,120,30,8
,Acid Splash,Illusions,5,v s,120,120,0
,Animate dead,Evocation,1,s,60,30,8
,Arcane Eye,Conjuration,10,v,60,60,8
,Beacon of Hope,Transmutation,4,v,0,90,0
,Sequester,Abjuration,9,m,120,0,8
,Clone,Transmutation,9,v s m,90,60,1
,Beacon of Hope,Abjuration,9,v,60,0,8
,Arcane Eye,Illusions,7,v,60,90,8
,Gust of Wind,Evocation,7,v s,30,30,0
,Prismatic Wall,Evocation,10,v s m,0,60,1
,Antlife Shell,Necromancy,10,s,120,0,8
,Arcane Eye,Evocation,10,s,30,0,8
,Arcane Hand,Abjuration,6,m,30,60,10
,Antipathy Sympathy,Conjuration,1,s,90,90,1
,Banishment,Abjuration,4,v s,0,90,0
,Entangle,Illusions,9,v s,120,90,10
,Secret Chest,Conjuration,8,s,120,30,0
,Freezing Sphere,Divination,5,v s m,90,60,0
,Banishment,Illusions,3,v s,120,120,10
,Gust of Wind,Transmutation,6,v s m,60,90,8
,Rope Trick,Enchantment,6,s,120,90,0
,Beacon of Hope,Transmutation,4,v s,90,120,0
,Entangle,Enchantment,3,m,120,30,1
,Freezing Sphere,Divination,8,v s m,0,60,0
,Animal Shape,Transmutation,8,v,0,90,1
,Fireball,Transmutation,2,s,0,30,8
,Rope Trick,Divination,3,v s m,120,0,0
,Antlife Shell,Abjuration,7,v s,60,0,0
,Hideous Laughter,Evocation,8,v,60,90,0
,Enthrall,Abjuration,4,v s m,120,120,10
,Beacon of Hope,Enchantment,8,v s m,0,0,8
,Arcane Hand,Illusions,4,m,60,30,10
,Acid Splash,Enchantment,7,m,0,120,0
,Fly,Divination,4,v s,30,90,10
,Entangle,Enchantment,8,m,30,30,0
,Banishment,Transmutation,3,s,120,60,10
,Enthrall,Necromancy,1,v s m,0,60,8
,Hideous Laughter,Divination,10,v s,90,120,1
,Alter Self,Evocation,10,s,60,120,10
,Animal Friendship,Necromancy,1,v s m,30,30,1
,Acid Arrow,Evocation,10,v,90,30,8
,Color Spray,Necromancy,9,v,30,30,10
,Enthrall,Enchantment,8,v,30,120,8
,Acid Arrow,Divination,5,v,120,30,1
,Bane,Divination,4,v,30,0,1
,Arcane Lock,Transmutation,4,v s,60,30,10
,Acid Splash,Necromancy,10,m,30,60,8
,Animal Shape,Conjuration,1,v,60,120,0
,Bane,Necromancy,1,v s,0,90,1
,Antimagic Field,Divination,4,v s m,90,0,0
,Fly,Evocation,10,v s,60,120,0
,Harm,Transmutation,4,v s m,30,60,8
,Insect Plague,Necromancy,3,s,60,60,1
,Fly,Evocation,10,s,120,30,0
,Clairvoyance,Enchantment,6,s,60,0,8
,Prismatic Wall,Conjuration,1,s,0,60,0
,Alarm,Illusions,3,v s,60,120,0
,Prismatic Wall,Illusions,3,v s,120,60,8
,Arcane Sword,Transmutation,9,s,90,120,1
,Clairvoyance,Necromancy,1,m,30,120,0
,Harm,Abjuration,5,v s,90,120,0
,Harm,Necromancy,7,v s m,30,120,8
,Banishment,Illusions,4,s,30,30,1
,Alarm,Enchantment,10,v s,0,60,10
,Bane,Evocation,2,m,30,90,10
,Harm,Divination,1,v s,60,90,10
,Animal Friendship,Conjuration,4,s,0,120,0
,Bane,Necromancy,3,v,120,60,1
,Entangle,Evocation,10,s,60,120,10
,Inflict Wounds,Evocation,1,v,90,90,0
,Secret Chest,Necromancy,9,v s,0,30,0
,Acid Arrow,Evocation,10,v s m,30,120,10
,Animal Messenger,Conjuration,3,s,120,120,0
,Bane,Divination,1,m,120,120,1
,Hideous Laughter,Illusions,4,v,120,30,0
,Inflict Wounds,Evocation,6,v s m,90,120,10
,Banishment,Conjuration,3,s,60,60,1
,Arcane Lock,Abjuration,6,v,120,30,0
,Alter Self,Abjuration,8,v s,30,60,1
,Antimagic Field,Conjuration,5,v s,0,0,10
,Harm,Illusions,3,v s m,90,60,8
,Prismatic Wall,Enchantment,2,v s,0,0,1
,Fly,Necromancy,3,v s m,90,90,8
,Aid,Abjuration,5,v,60,120,8
,Hideous Laughter,Illusions,7,s,0,90,8
,Bane,Enchantment,10,v s m,0,0,0
,Freezing Sphere,Evocation,4,v s m,60,90,0
,Aid,Conjuration,5,v,120,90,8
,Animal Friendship,Abjuration,1,s,0,120,10
,Color Spray,Illusions,6,m,120,120,1
,Bane,Abjuration,8,v s m,60,0,10
,Clairvoyance,Conjuration,8,v,60,0,0
,Inflict Wounds,Divination,3,v s,120,90,10
,Banishment,Transmutation,7,v,120,0,10
,Alter Self,Abjuration,10,m,120,90,8
,Freezing Sphere,Evocation,7,m,30,30,10
,Clone,Illusions,1,v s m,30,30,1
,Rope Trick,Necromancy,1,m,30,90,8
,Alter Self,Transmutation,7,v,90,30,1
,Hideous Laughter,Divination,2,s,90,30,8
,Beacon of Hope,Abjuration,2,m,0,120,10
,Entangle,Necromancy,3,v s m,30,60,0
,Rope Trick,Necromancy,2,v s,60,60,1
,Arcane Lock,Illusions,3,m,30,90,0
,Sequester,Divination,7,v,120,90,8
,Enthrall,Abjuration,9,v s,120,0,1
,Arcane Hand,Transmutation,3,v s m,30,120,1
,Gust of Wind,Divination,5,v s m,0,60,8
,Alarm,Evocation,1,m,0,120,0
,Acid Arrow,Evocation,9,v s,120,60,8
,Inflict Wounds,Illusions,2,s,60,90,8
,Entangle,Transmutation,10,v s,120,120,8
,Animal Messenger,Evocation,2,m,30,0,0
,Arcane Lock,Abjuration,9,v s m,120,0,1
,Alarm,Necromancy,8,v,120,0,1
,Antipathy Sympathy,Conjuration,7,v s m,90,30,8
,Inflict Wounds,Conjuration,6,v s,30,60,1
,Animal Messenger,Necromancy,6,s,30,90,0
,Animal Friendship,Transmutation,3,v s,90,0,10
,Hideous Laughter,Illusions,2,v s,90,60,10
,Aid,Necromancy,5,v s m,90,30,1
,Inflict Wounds,Illusions,10,s,30,30,8
,Arcane Eye,Enchantment,7,m,90,30,8
,Arcane Sword,Transmutation,6,v s m,120,90,1
,Antimagic Field,Illusions,10,v s,90,0,0
,Rope Trick,Transmutation,6,v s m,30,30,8
,Harm,Enchantment,5,v,90,120,10
,Prismatic Wall,Evocation,4,v,60,90,10
,Animal Friendship,Enchantment,6,v s,90,30,0
,Hideous Laughter,Necromancy,8,v s m,120,90,8
,Animal Messenger,Necromancy,7,s,60,0,10
,Haste,Transmutation,5,s,90,0,0
,Animal Messenger,Necromancy,1,v s m,30,0,0
,Fireball,Evocation,9,v s m,120,90,8
,Secret Chest,Divination,10,m,90,90,0
,Gust of Wind,Necromancy,9,v s m,30,120,0
,Gust of Wind,Enchantment,7,s,60,90,8
,Clairvoyance,Evocation,9,v s m,120,30,0
,Color Spray,Conjuration,3,s,90,30,0
,Alarm,Divination,1,v s m,120,0,10
,Beacon of Hope,Illusions,2,s,30,60,0
,Alter Self,Conjuration,10,v,90,120,0
,Animal Messenger,Illusions,5,s,90,90,1
,Hideous Laughter,Abjuration,2,v s,30,60,8
,Enthrall,Divination,5,v s,90,90,8
,Animate Objects,Necromancy,9,v s m,90,120,8
,Animal Shape,Conjuration,10,v,90,60,8
,Sequester,Enchantment,9,m,30,90,0
,Secret Chest,Transmutation,3,v s,0,60,10
,Banishment,Necromancy,2,v,0,120,10
,Secret Chest,Transmutation,1,v s m,60,30,0
,Insect Plague,Necromancy,9,m,30,30,0
,Arcane Sword,Evocation,7,s,0,90,10
,Banishment,Transmutation,2,m,90,30,1
,Bane,Divination,8,m,30,120,1
,Clone,Necromancy,7,m,90,120,1
,Animal Friendship,Illusions,10,m,90,60,1
,Arcane Hand,Divination,8,v s m,90,30,1
,Bane,Necromancy,2,v,90,0,10
,Arcane Hand,Divination,9,s,0,90,8
,Secret Chest,Necromancy,6,s,30,0,10
,Acid Arrow,Enchantment,4,m,60,90,1
,Arcane Lock,Abjuration,5,m,120,30,8
,Banishment,Illusions,9,m,0,60,1
,Animate Objects,Enchantment,7,s,30,60,0
,Animal Shape,Evocation,7,m,60,60,0
,Acid Splash,Divination,3,v s m,120,0,1
,Entangle,Illusions,4,m,0,0,1
,Harm,Abjuration,9,s,0,60,1
,Beacon of Hope,Enchantment,6,v s,90,30,8
,Banishment,Illusions,7,v s m,30,120,0
,Arcane Hand,Illusions,5,s,30,60,1
,Entangle,Evocation,3,v,90,0,10
,Insect Plague,Conjuration,6,v s,0,120,1
,Sequester,Conjuration,4,s,0,30,8
,Arcane Eye,Transmutation,5,v s,0,90,10
,Haste,Necromancy,10,v s,60,30,8
,Fireball,Divination,5,v s,60,90,0
,Insect Plague,Abjuration,7,v,90,0,8
,Fly,Transmutation,9,v,0,90,10
,Gust of Wind,Abjuration,9,v s m,0,60,1
,Animal Friendship,Necromancy,5,v,60,0,10
,Antimagic Field,Transmutation,9,v s m,60,60,10
,Inflict Wounds,Evocation,9,m,120,60,10
,Acid Splash,Conjuration,8,v s,30,120,0
,Animal Shape,Transmutation,10,m,90,60,10
,Gust of Wind,Enchantment,5,m,30,60,8
,Aid,Divination,6,v s,0,0,10
,Fireball,Divination,10,v s m,30,120,8
,Animal Friendship,Illusions,1,s,60,90,10
,Animal Shape,Illusions,6,s,60,0,10
,Arcane Lock,Conjuration,6,m,30,30,8
,Enthrall,Evocation,1,v s,0,0,1
,Alter Self,Transmutation,5,s,60,60,10
,Alter Self,Divination,4,s,60,60,10
,Alarm,Enchantment,10,s,0,60,0
,Clone,Necromancy,10,v,0,90,8
,Prismatic Wall,Divination,10,s,60,90,0
,Alarm,Transmutation,6,m,30,90,8
,Freezing Sphere,Enchantment,5,v s m,120,0,1
,Acid Splash,Illusions,4,m,120,120,10
,Arcane Hand,Divination,9,s,0,90,0
,Beacon of Hope,Enchantment,3,v s m,60,60,8
,Animal Messenger,Divination,6,v,30,0,0
,Fireball,Necromancy,7,m,60,120,0
,Animal Friendship,Illusions,4,v s,30,90,0
,Inflict Wounds,Conjuration,5,v s,120,30,0
,Color Spray,Evocation,4,v s,90,0,0
,Clone,Necromancy,9,m,30,90,8
,Acid Arrow,Enchantment,5,m,30,120,0
,Arcane Hand,Illusions,3,v,30,0,10
,Antipathy Sympathy,Illusions,1,s,90,90,8
,Beacon of Hope,Abjuration,6,v s,30,60,8
,Animal Friendship,Abjuration,8,v s m,0,30,0
,Gust of Wind,Necromancy,3,m,30,0,10
,Color Spray,Necromancy,10,v s,30,60,1
,Sequester,Illusions,7,v s,90,0,8
,Secret Chest,Conjuration,4,v s,90,0,10
,Alter Self,Evocation,5,v s,90,90,1
,Arcane Eye,Necromancy,1,m,0,90,8
,Clone,Illusions,9,m,0,120,1
,Antlife Shell,Enchantment,3,m,60,60,10
,Animal Friendship,Abjuration,7,v s,120,120,0
,Arcane Hand,Divination,6,v s m,90,0,1
,Arcane Sword,Evocation,10,v s m,120,60,10
,Arcane Lock,Illusions,7,m,90,60,1
,Haste,Evocation,9,m,120,120,0
,Acid Splash,Illusions,7,v s,120,30,1
,Harm,Enchantment,4,v s,120,90,8
,Fly,Divination,8,v s m,120,120,10
,Bane,Conjuration,9,v s,0,30,10
,Animal Shape,Illusions,10,v,90,0,8
,Rope Trick,Transmutation,3,v,90,0,0
,Alter Self,Transmutation,1,m,0,60,10
,Antlife Shell,Enchantment,6,v s,120,0,1
,Rope Trick,Evocation,9,v s m,90,30,1
,Acid Splash,Enchantment,3,v s,90,60,0
,Aid,Evocation,4,m,120,0,10
,Prismatic Wall,Transmutation,8,m,0,60,8
,Color Spray,Divination,8,s,120,30,10
,Arcane Sword,Abjuration,1,s,60,60,8
,Haste,Enchantment,9,v s,0,90,0
,Acid Arrow,Divination,1,v s,60,60,0
,Color Spray,Evocation,5,v,60,0,10
,Animate dead,Divination,3,m,90,60,10
,Haste,Evocation,5,s,90,0,10
,Antimagic Field,Transmutation,8,v s m,90,60,1
,Banishment,Conjuration,6,s,120,90,0
,Arcane Lock,Evocation,5,v s m,60,30,0
,Gust of Wind,Conjuration,7,v s,60,60,10
,Arcane Hand,Evocation,10,m,30,60,10
,Harm,Transmutation,7,v s m,120,90,8
,Beacon of Hope,Divination,3,s,90,30,0
,Antipathy Sympathy,Illusions,2,v s m,60,0,10
,Bane,Illusions,7,v s,60,120,10
,Inflict Wounds,Illusions,8,v,30,0,8
,Harm,Conjuration,9,s,60,30,1
,Antlife Shell,Divination,7,s,30,90,8
,Arcane Lock,Conjuration,10,v s,90,30,1
,Antlife Shell,Enchantment,5,v s m,30,120,1
,Antipathy Sympathy,Transmutation,5,v,30,60,0
,Harm,Enchantment,7,s,120,60,10
,Hideous Laughter,Conjuration,6,s,0,30,1
,Haste,Illusions,5,v,30,30,1
,Acid Splash,Illusions,4,v s,30,90,8
,Bane,Enchantment,4,s,90,0,8
,Beacon of Hope,Abjuration,2,v s,30,0,8
,Fly,Transmutation,3,v,90,60,0
,Aid,Conjuration,9,v s,90,30,8
,Insect Plague,Evocation,9,m,60,0,10
,Animate dead,Evocation,7,m,90,30,1
,Fly,Abjuration,9,v s m,120,90,0
,Clone,Transmutation,1,s,0,90,10
,Animal Friendship,Divination,2,v s m,90,120,1
,Gust of Wind,Necromancy,5,v,0,120,8
,Arcane Eye,Divination,9,v s m,120,90,8
,Animal Messenger,Illusions,1,v s m,30,30,1
,Gust of Wind,Conjuration,5,s,60,30,0
,Antimagic Field,Necromancy,1,v s,30,120,10
,Antimagic Field,Divination,10,v s,0,0,8
,Alarm,Evocation,1,v,60,120,1
,Secret Chest,Transmutation,6,v s,0,0,8
,Antimagic Field,Conjuration,7,v,90,30,10
,Haste,Enchantment,10,v s,120,60,0
,Inflict Wounds,Enchantment,5,v s m,90,120,10
,Animate dead,Transmutation,7,m,120,90,1
,Rope Trick,Enchantment,6,m,30,0,0
,Enthrall,Conjuration,1,v,60,120,1
,Arcane Hand,Enchantment,3,s,120,120,1
,Color Spray,Evocation,5,s,120,30,8
,Harm,Abjuration,4,v s m,30,90,0
,Animate Objects,Enchantment,5,v s m,0,0,1
,Beacon of Hope,Necromancy,2,m,0,0,10
,Clone,Illusions,8,s,120,120,10
,Harm,Conjuration,9,v s m,90,0,1
,Arcane Lock,Abjuration,9,v,60,30,10
,Alarm,Evocation,2,m,90,0,8
,Secret Chest,Necromancy,3,m,30,30,10
,Arcane Sword,Divination,2,v s,120,30,1
,Arcane Eye,Transmutation,4,v s,120,60,0
,Sequester,Abjuration,2,s,30,30,8
,Bane,Enchantment,6,v s,90,90,1
,Insect Plague,Divination,8,m,30,120,1
,Antimagic Field,Abjuration,2,v s m,120,90,1
,Animate dead,Divination,6,v,0,60,1
,Arcane Eye,Transmutation,7,m,30,90,0
,Sequester,Conjuration,6,v s,30,90,1
,Antimagic Field,Conjuration,3,m,120,60,10
,Freezing Sphere,Illusions,1,s,60,30,0
,Haste,Necromancy,2,m,60,60,1
,Fly,Conjuration,9,v,90,60,8
,Beacon of Hope,Evocation,7,v s,0,60,0
,Acid Splash,Abjuration,3,v s m,120,30,0
,Arcane Lock,Necromancy,1,v s m,30,30,10
,Arcane Eye,Abjuration,3,m,0,30,1
,Acid Arrow,Conjuration,3,v s m,120,120,1
,Acid Arrow,Abjuration,4,m,60,120,8
,Animal Shape,Transmutation,5,m,30,60,10
,Entangle,Illusions,9,v s m,120,120,10
,Gust of Wind,Abjuration,5,m,90,0,0
,Freezing Sphere,Transmutation,5,v,30,60,1
,Prismatic Wall,Enchantment,5,v s m,90,60,8
,Arcane Lock,Necromancy,9,m,30,30,10
,Clairvoyance,Evocation,7,s,60,0,1
,Beacon of Hope,Enchantment,1,v s m,60,0,0
,Alarm,Divination,6,v,60,90,1
,Arcane Lock,Conjuration,6,v s m,30,60,10
,Animal Friendship,Illusions,2,m,90,30,0
,Color Spray,Divination,10,v s m,30,60,8
,Fireball,Evocation,1,v s,90,0,8
,Freezing Sphere,Conjuration,9,v s m,0,0,1
,Haste,Necromancy,10,s,30,90,1
,Haste,Illusions,6,m,0,30,0
,Freezing Sphere,Necromancy,10,s,0,90,1
,Fireball,Evocation,3,m,120,60,10
,Beacon of Hope,Enchantment,4,m,0,120,1
,Gust of Wind,Evocation,6,v s m,60,90,0
,Secret Chest,Illusions,9,v s m,120,60,10
,Color Spray,Conjuration,1,v s m,60,120,10
,Arcane Hand,Conjuration,1,s,120,120,0
,Hideous Laughter,Divination,8,s,60,90,0
,Animate Objects,Conjuration,10,s,120,120,8
