Race_ID,Race_Name,Size,Language,Abilities,Traits,Sub_races
,Bugbear,Large,Gnomish,Endurance, Shadow Meld,Titanborn
,Bugbear,Gargantuan,Elvish,Dungeoneering,Draenei,Crystal Born
,Human,Gargantuan,Dravish,Intimidate,Escape Artist,Titanborn
,Lightfoot Halfling,Large,Celestial,Bluff,Nimble Fingers,Brae Dwarf
,Hill Dwarf,Huge,Deep Speech,Heal, Shadow Meld,Crystal Born
,Human,Tiny,Infernal,Streetwise,Explorer,Half-Celestial
,Human,Large,Gnomish,Streetwise,Touch of Elune,Half-Celestial
,Human,Gargantuan,Giant,Dungeoneering,Every Man for Himself,Half Dragon
,Human,Large,Infernal,Streetwise,Engineering Specialist,Half Dragon
,Human,Small,Undercommon,Endurance,Engineering Specialist,Arcadian
,Ratfolk (white),Large,Celestial,Thievery,Nimble Fingers,Holy Elf
,Human,Tiny,Orc,Stealth, Expansive Mind,Arcadian
,Human,Large,Infernal,Stealth, Expansive Mind,Arcadian
,Human,Medium,Infernal,Diplomacy,Gift of the Naaru,Volcano Dwarf
,Human,Large,Undercommon,Religion,Every Man for Himself,Firebeard Dwarf
,Human,Gargantuan,Gnomish,Religion,Diplomacy,Winger Aasimar
,Human,Gargantuan,Orc,Thievery,Every Man for Himself, Burly Halfling
,Human,Gargantuan,Deep Speech,Stealth,Stone Form,Deep Dwarf
,Human,Medium,Gnomish,Athletics,Stone Form,Elemental Born
,Variant,Small,Goblin,Endurance,Elusivness,Dragon Elf
,Human,Small,Elvish,Streetwise, Shadow Meld,Fey Heritage
,Human,Large,Halfling,Diplomacy,Touch of Elune,Dragon Elf
,Mountain Dwarf,Gargantuan,Draconic,Nature,Gift of the Naaru,Half Dragon
,Orc,Tiny,Common,Endurance,Might of the Mountain, Zombie
,Human,Large,Orc,Endurance,The Human Spirit,Half-Celestial
,Human,Small,Ignan,Heal,Nimble Fingers,Sunfire Elf
,Variant,Medium,Druidic,Dungeoneering,Gift of the Naaru,Holy Elf
,Wood Elf,Tiny,Halfling,Athletics,The Human Spirit,Elemental Born
,Kenku,Tiny,Druidic,Arcana,Arcane Resistance,Volcano Dwarf
,Kobold,Huge,Orc,Athletics, Shadow Meld,Fey Heritage
,Tabaxi,Small,Primordial,Insight,Draenei,Crystal Born
,Tabaxi,Gargantuan,Elvish,Nature,Gift of the Naaru, Zombie
,Ghastly Halfling,Small,Abyssal,Insight,Diplomacy,Brae Dwarf
,Dragonborn,Medium,Celestial,Arcana,Wisp Spirit,Sunfire Elf
,Goblin,Medium,Terran,Religion,Gem Cutting,Holy Elf
,Hill Dwarf,Gargantuan,Elvish,Heal,The Human Spirit,Holy Elf
,Human,Large,Abyssal,Stealth,Stone Form,Arcadian
,Human,Small,Deep Speech,Diplomacy,Stone Form,Arcadian
,Human,Tiny,Celestial,Nature,Arcane Resistance,Dragon Elf
,Human,Small,Undercommon,Streetwise,Arcane Resistance,Dragon Child
,Human,Tiny,Deep Speech,Stealth,Frost Resistance,Holy Elf
,Tabaxi,Large,Ignan,Streetwise,Explorer,Dragon Elf
,Human,Medium,Dravish,Religion,The Human Spirit,Half-Celestial
,Mountain Dwarf,Medium,Goblin,Diplomacy,Quickness,Urban Elf
,High Elf,Medium,Druidic,Arcana,Diplomacy, Burly Halfling
,Human,Medium,Ignan,Insight,Escape Artist, Zombie
,Human,Large,Undercommon,Streetwise,Frost Resistance,Holy Elf
,Human,Large,Druidic,Dungeoneering,Escape Artist,Fey Heritage
,Tiefling,Small,Dravish,Heal,Touch of Elune, Zombie
,Human,Medium,Draconic,Bluff,Gem Cutting,Crystal Born
,Human,Medium,Infernal,Athletics,Shadow Resistence,Titanborn
,Half-Orc,Gargantuan,Gnoll,Arcana,Elusivness,Half Dragon
,Triton,Large,Terran,Religion,Touch of Elune,Urban Elf
,Shadow Elf,Tiny,Infernal,Dungeoneering,Diplomacy,Dragon Child
,Ghastly Halfling,Gargantuan,Common,Athletics,Engineering Specialist, Zombie
,Kenku,Tiny,Orc,Diplomacy,Explorer,Deep Dwarf
,Wood Elf,Small,Auran,Endurance,Shadow Resistence,Firebeard Dwarf
,RaceName,Small,Auran,Arcana,Every Man for Himself,Urban Elf
,Human,Small,Draconic,Diplomacy,Engineering Specialist,Elemental Born
,Scourge Aasimar,Large,Infernal,Arcana, Expansive Mind,Holy Elf
,Eladrin ToF,Medium,Terran,Athletics,Gift of the Naaru,Reaper Aasimar
,Lineage - Meph,Tiny,Gnomish,Dungeoneering,Engineering Specialist,Reaper Aasimar
,Ratfolk (white),Medium,Ignan,Endurance, Shadow Meld,Firebeard Dwarf
,Human,Huge,Gnomish,Heal,Explorer,Firebeard Dwarf
,Dragonborn,Huge,Ignan,Bluff,Engineering Specialist,Urban Elf
,Half-Elf,Tiny,Deep Speech,Nature,Escape Artist, Burly Halfling
,Human,Medium,Goblin,Bluff,Nimble Fingers,Winger Aasimar
,Human,Medium,Draconic,Endurance,Diplomacy, Zombie
,Human,Tiny,Gnoll,Religion,Every Man for Himself, Zombie
,Tabaxi,Medium,Goblin,Intimidate,Touch of Elune,Deep Dwarf
,Tabaxi,Huge,Undercommon,Stealth,Engineering Specialist, Zombie
,Human,Medium,Orc,Religion,Gem Cutting,Deep Dwarf
,Half-Elf,Medium,Giant,Arcana,Nature Resistence,Volcano Dwarf
,Wood Elf,Large,Auran,Athletics,Heroic Presence,Elemental Born
,Half-Orc,Large,Giant,Bluff,Heroic Presence,Mothra Aasimar
,Orc,Large,Gnoll,Stealth, Shadow Meld,Deep Dwarf
,Half-Orc,Gargantuan,Celestial,Diplomacy,Nature Resistence,Arcadian
,Wood Elf,Tiny,Deep Speech,Athletics,Gem Cutting,Mothra Aasimar
,Variant,Huge,Aquan,Arcana,Elusivness,Brae Dwarf
,Half-Elf,Gargantuan,Auran,Intimidate,Arcane Resistance, Zombie
,Wood Elf,Large,Auran,Streetwise,Every Man for Himself,Elemental Born
,Dragonborn,Small,Orc,Athletics,Elusivness,Deep Dwarf
,Half-Elf,Gargantuan,Elvish,Heal, Shadow Meld,Titanborn
,Bugbear,Gargantuan,Abyssal,Stealth,Engineering Specialist,Crystal Born
,Turtle,Huge,Gnoll,Religion,Gem Cutting,Sunfire Elf
,Lightfoot Halfling,Huge,Draconic,Dungeoneering,Touch of Elune,Winger Aasimar
,Goblin,Large,Undercommon,Endurance,Might of the Mountain,Half Dragon
,Half-Orc,Large,Orc,Bluff,Touch of Elune, Burly Halfling
,Tiefling,Tiny,Aquan,Diplomacy,Stone Form,Half-Celestial
,Dragonborn,Gargantuan,Undercommon,Stealth,Draenei,Volcano Dwarf
,Aarakocra,Gargantuan,Primordial,Heal,Escape Artist, Burly Halfling
,Warforged,Gargantuan,Common,Religion, Expansive Mind,Urban Elf
,Elephantine,Huge,Undercommon,Diplomacy,Wisp Spirit,Half-Celestial
,Tabaxi,Huge,Aquan,Streetwise,Engineering Specialist,Titanborn
,Rock Gnome,Tiny,Giant,Endurance,Stone Form, Burly Halfling
,Mountain Dwarf,Small,Common,Diplomacy,Every Man for Himself,Fey Heritage
,Changeling,Gargantuan,Common,Religion,Touch of Elune,Reaper Aasimar
,Human,Tiny,Undercommon,Nature,Elusivness,Half Dragon
,Wood Elf,Tiny,Halfling,Religion,Touch of Elune,Dragon Elf
,Mountain Dwarf,Tiny,Draconic,Nature,Nature Resistence,Mothra Aasimar
,Human,Small,Abyssal,Dungeoneering,Gift of the Naaru, Burly Halfling
,Human,Huge,Common,Nature,Gift of the Naaru,Arcadian
,Mountain Dwarf,Tiny,Primordial,Arcana,Elusivness,Dragon Elf
,Human,Tiny,Dravish,Religion, Shadow Meld,Reaper Aasimar
,Mountain Dwarf,Large,Primordial,Nature,Frost Resistance,Urban Elf
,Rock Gnome,Tiny,Infernal,Thievery,Nature Resistence,Volcano Dwarf
,Hill Dwarf,Small,Sylvan,Religion,Engineering Specialist,Urban Elf
,Stout Halfling,Huge,Auran,Intimidate,Diplomacy,Firebeard Dwarf
,Dragonborn,Huge,Ignan,Nature, Expansive Mind,Sunfire Elf
,Wood Elf,Medium,Celestial,Nature,Stone Form, Burly Halfling
,Tiefling,Large,Common,Nature,Quickness,Half-Celestial
,Tiefling,Tiny,Elvish,Intimidate,Might of the Mountain,Crystal Born
,Human,Tiny,Elvish,Nature,Diplomacy,Urban Elf
,High Elf,Tiny,Gnomish,Bluff,Engineering Specialist,Fey Heritage
,Half-Orc,Large,Auran,Endurance, Shadow Meld,Volcano Dwarf
,Human,Small,Gnomish,Diplomacy,Nimble Fingers,Elemental Born
,Half-Elf,Small,Auran,Thievery,Heroic Presence,Mothra Aasimar
,Human,Huge,Terran,Endurance,Might of the Mountain,Crystal Born
,Human,Huge,Ignan,Religion,Quickness,Volcano Dwarf
,Centaur,Medium,Celestial,Insight,Escape Artist,Fey Heritage
,Human,Huge,Abyssal,Bluff,The Human Spirit, Burly Halfling
,Wood Elf,Medium,Terran,Religion, Expansive Mind,Firebeard Dwarf
,Shadow Elf,Gargantuan,Dravish,Stealth,Stone Form,Dragon Elf
,Lightfoot Halfling,Small,Giant,Bluff,Gift of the Naaru,Half-Celestial
,Half-Elf,Huge,Draconic,Endurance,Engineering Specialist,Elemental Born
,Wood Elf,Tiny,Sylvan,Dungeoneering,Gem Cutting,Arcadian
,Wood Elf,Medium,Giant,Insight,Stone Form,Urban Elf
,Mountain Dwarf,Huge,Gnomish,Intimidate,Nimble Fingers,Deep Dwarf
,Human,Gargantuan,Gnoll,Stealth,Diplomacy,Mothra Aasimar
,Lizardfolk,Tiny,Ignan,Diplomacy,Stone Form,Holy Elf
,Half-Elf,Huge,Goblin,Nature,Nimble Fingers,Firebeard Dwarf
,Half-Orc,Small,Deep Speech,Streetwise,Might of the Mountain,Half Dragon
,Half-Elf,Tiny,Undercommon,Diplomacy,Nature Resistence,Arcadian
,Rock Gnome,Small,Sylvan,Endurance,Stone Form, Burly Halfling
,Protector Aasimar,Medium,Abyssal,Thievery,Heroic Presence,Elemental Born
,Tabaxi,Tiny,Celestial,Endurance,Nimble Fingers, Zombie
,Dragonborn,Medium,Undercommon,Heal,Frost Resistance,Sunfire Elf
,Human,Gargantuan,Abyssal,Thievery,Gift of the Naaru, Zombie
,Sea Elf,Small,Auran,Endurance,Diplomacy,Titanborn
,Human,Gargantuan,Druidic,Insight,Draenei,Brae Dwarf
,Human,Gargantuan,Terran,Thievery,Touch of Elune,Urban Elf
,Wood Elf,Large,Halfling,Heal, Expansive Mind,Fey Heritage
,Wood Elf,Medium,Dravish,Endurance,Draenei,Arcadian
,Lightfoot Halfling,Medium,Celestial,Endurance,Touch of Elune,Arcadian
,Firbolg,Medium,Infernal,Heal,Draenei,Deep Dwarf
,Lightfoot Halfling,Tiny,Sylvan,Bluff,Quickness,Dragon Child
,Human,Large,Gnoll,Dungeoneering,Stone Form,Arcadian
,Half-Orc,Huge,Goblin,Arcana,Arcane Resistance,Elemental Born
,Kenku,Large,Deep Speech,Thievery,Nimble Fingers,Reaper Aasimar
,Protector Aasimar,Gargantuan,Common,Heal,Elusivness,Mothra Aasimar
,Human,Gargantuan,Infernal,Athletics,Nimble Fingers,Half-Celestial
,Human,Tiny,Dravish,Insight,Shadow Resistence,Fey Heritage
,Human,Gargantuan,Goblin,Athletics,Touch of Elune,Firebeard Dwarf
,Human,Small,Giant,Endurance,Arcane Resistance,Elemental Born
,Wood Elf,Gargantuan,Deep Speech,Diplomacy,Gift of the Naaru,Arcadian
,Human,Small,Aquan,Religion,Engineering Specialist,Dragon Elf
,Human,Gargantuan,Gnoll,Nature,Gem Cutting,Brae Dwarf
,Half-Orc,Large,Gnomish,Endurance, Shadow Meld,Titanborn
,Tiefling,Gargantuan,Aquan,Intimidate,Gem Cutting,Dragon Child
,Wood Elf,Tiny,Gnomish,Thievery,Arcane Resistance,Urban Elf
,Hill Dwarf,Gargantuan,Infernal,Endurance,Shadow Resistence,Half-Celestial
,Scourge Aasimar,Huge,Giant,Streetwise,Draenei, Zombie
,Human,Gargantuan,Druidic,Insight,Frost Resistance,Firebeard Dwarf
,Human,Medium,Halfling,Arcana, Expansive Mind, Burly Halfling
,Scourge Aasimar,Small,Gnoll,Arcana,Diplomacy,Crystal Born
,Scourge Aasimar,Huge,Druidic,Dungeoneering,Every Man for Himself,Winger Aasimar
,Eladrin DMG,Gargantuan,Draconic,Heal,Nature Resistence, Burly Halfling
,Rock Gnome,Gargantuan,Dravish,Intimidate,Might of the Mountain,Half-Celestial
,Half-Elf,Huge,Orc,Dungeoneering,Elusivness,Elemental Born
,Half-Elf,Medium,Celestial,Diplomacy, Shadow Meld,Brae Dwarf
,Tiefling,Medium,Elvish,Streetwise,Gem Cutting,Crystal Born
,Tiefling,Small,Infernal,Stealth,Shadow Resistence,Firebeard Dwarf
,Firbolg,Medium,Halfling,Endurance,Elusivness,Urban Elf
,Firbolg,Huge,Ignan,Bluff,Nimble Fingers,Arcadian
,Half-Orc,Medium,Abyssal,Streetwise,Stone Form,Urban Elf
,Half-Orc,Gargantuan,Auran,Dungeoneering,Explorer, Burly Halfling
,Half-Orc,Medium,Orc,Intimidate,Wisp Spirit,Titanborn
,Half-Orc,Huge,Abyssal,Religion,Explorer,Half-Celestial
,Rock Gnome,Small,Elvish,Endurance,Escape Artist,Dragon Elf
,Dragonborn,Huge,Dravish,Bluff,Might of the Mountain,Half Dragon
,Dragonborn,Small,Halfling,Bluff, Shadow Meld,Fey Heritage
,Human,Huge,Auran,Stealth,Escape Artist,Deep Dwarf
,Human,Huge,Gnoll,Diplomacy,Might of the Mountain,Deep Dwarf
,Wood Elf,Tiny,Goblin,Religion,Explorer,Half Dragon
,Wood Elf,Medium,Undercommon,Diplomacy,Quickness,Elemental Born
,Mountain Dwarf,Huge,Druidic,Diplomacy, Shadow Meld,Urban Elf
,Human,Huge,Elvish,Heal,Every Man for Himself,Deep Dwarf
,Rock Gnome,Gargantuan,Abyssal,Heal,Might of the Mountain,Fey Heritage
,Half-Elf,Large,Infernal,Heal,Touch of Elune,Mothra Aasimar
,Human,Tiny,Gnoll,Nature,Explorer,Mothra Aasimar
,Dragonborn,Tiny,Giant,Dungeoneering,Gem Cutting,Winger Aasimar
,Half-Orc,Medium,Primordial,Bluff,Stone Form,Fey Heritage
,Half-Elf,Huge,Ignan,Nature,Every Man for Himself,Firebeard Dwarf
,Firbolg,Small,Infernal,Thievery,Draenei,Crystal Born
,Rock Gnome,Large,Draconic,Insight,Touch of Elune,Fey Heritage
,Tiefling,Tiny,Celestial,Heal,Heroic Presence, Zombie
,Half-Orc,Gargantuan,Deep Speech,Thievery,Nimble Fingers,Arcadian
,Half-Elf,Tiny,Draconic,Streetwise,Arcane Resistance,Brae Dwarf
,Human,Tiny,Abyssal,Arcana,Nature Resistence,Mothra Aasimar
,Human,Medium,Giant,Bluff,Touch of Elune,Titanborn
,Wood Elf,Tiny,Draconic,Bluff,Wisp Spirit,Reaper Aasimar
,Human,Small,Gnoll,Religion,Wisp Spirit,Winger Aasimar
,Wood Elf,Huge,Giant,Religion,Heroic Presence,Elemental Born
,Kenku,Tiny,Common,Arcana,Explorer,Arcadian
,Half-Orc,Huge,Sylvan,Dungeoneering,Gem Cutting,Deep Dwarf
,Tabaxi,Gargantuan,Gnoll,Insight,Diplomacy,Dragon Child
,Scourge Aasimar,Huge,Goblin,Nature,The Human Spirit,Mothra Aasimar
,Human,Gargantuan,Giant,Heal,Nature Resistence,Titanborn
,Human,Huge,Celestial,Endurance,Shadow Resistence,Fey Heritage
,Human,Gargantuan,Terran,Heal,Heroic Presence,Mothra Aasimar
,Human,Medium,Celestial,Insight,Frost Resistance,Reaper Aasimar
,Human,Large,Ignan,Stealth,Gem Cutting,Winger Aasimar
,Wood Elf,Tiny,Deep Speech,Insight,Wisp Spirit,Fey Heritage
,Human,Large,Ignan,Religion, Expansive Mind,Half-Celestial
,Rock Gnome,Small,Auran,Thievery,Frost Resistance,Reaper Aasimar
,Human,Large,Terran,Arcana,Gem Cutting,Crystal Born
,Hill Dwarf,Huge,Celestial,Insight,Gem Cutting,Mothra Aasimar
,Human,Gargantuan,Primordial,Religion,Wisp Spirit, Burly Halfling
,Human,Huge,Druidic,Stealth,Heroic Presence,Urban Elf
,Human,Tiny,Halfling,Thievery,Heroic Presence,Half-Celestial
,Human,Small,Ignan,Nature,Touch of Elune,Firebeard Dwarf
,Forest Gnome,Gargantuan,Halfling,Dungeoneering,Elusivness,Winger Aasimar
,Goliath,Medium,Giant,Insight,Arcane Resistance, Zombie
,Tabaxi,Huge,Celestial,Religion,Escape Artist,Firebeard Dwarf
,Tabaxi,Medium,Infernal,Streetwise, Shadow Meld,Dragon Elf
,Lizardfolk,Small,Gnomish,Insight,Gem Cutting, Burly Halfling
,High Elf,Huge,Auran,Diplomacy,Gift of the Naaru,Volcano Dwarf
,Dragonborn,Medium,Gnoll,Thievery,Gift of the Naaru,Sunfire Elf
,Hill Dwarf,Small,Sylvan,Heal,Nimble Fingers,Crystal Born
,Tiefling,Tiny,Abyssal,Dungeoneering,Nature Resistence,Dragon Child
,Tiefling,Medium,Deep Speech,Nature,Engineering Specialist, Burly Halfling
,Half-Orc,Large,Infernal,Athletics,Frost Resistance,Brae Dwarf
,Tiefling,Large,Gnoll,Bluff,Touch of Elune,Half-Celestial
,Rock Gnome,Medium,Common,Nature,Gem Cutting,Dragon Child
,Firbolg,Huge,Gnoll,Dungeoneering,Heroic Presence, Zombie
,Dragonborn,Small,Druidic,Insight, Expansive Mind,Holy Elf
,Tiefling,Gargantuan,Dravish,Endurance,Nature Resistence,Arcadian
,Half-Elf,Tiny,Auran,Religion, Shadow Meld, Burly Halfling
,Dragonborn,Huge,Draconic,Diplomacy, Expansive Mind,Arcadian
,Firbolg,Huge,Undercommon,Streetwise, Expansive Mind,Holy Elf
,Human,Huge,Goblin,Diplomacy,Elusivness,Dragon Elf
,High Elf,Large,Druidic,Arcana,Explorer,Brae Dwarf
,Human,Tiny,Terran,Nature,Arcane Resistance,Mothra Aasimar
,Firbolg,Large,Giant,Religion,Explorer,Arcadian
,Human,Tiny,Halfling,Streetwise,Shadow Resistence,Half Dragon
,High Elf,Large,Deep Speech,Nature,Elusivness,Titanborn
,Half-Elf,Gargantuan,Dravish,Athletics,Gift of the Naaru,Deep Dwarf
,Human,Large,Sylvan,Nature,Escape Artist,Arcadian
,Wood Elf,Tiny,Halfling,Diplomacy,Nature Resistence,Crystal Born
,Human,Small,Dravish,Bluff,Every Man for Himself,Crystal Born
,Human Variant,Tiny,Gnomish,Nature,Elusivness,Deep Dwarf
,Human Variant,Small,Gnoll,Thievery,The Human Spirit,Volcano Dwarf
,Human Variant,Large,Aquan,Endurance,Heroic Presence,Sunfire Elf
,Tiefling,Huge,Elvish,Stealth,Engineering Specialist,Elemental Born
,Wood Elf,Small,Terran,Religion,Shadow Resistence,Dragon Child
,Half-Elf,Tiny,Dravish,Stealth,Escape Artist,Titanborn
,Tabaxi,Medium,Orc,Stealth,Explorer,Fey Heritage
,Lightfoot Halfling,Large,Aquan,Insight,Explorer,Volcano Dwarf
,Human,Medium,Druidic,Intimidate,Nimble Fingers,Deep Dwarf
,Tabaxi,Large,Terran,Arcana,The Human Spirit,Volcano Dwarf
,Protector Aasimar,Large,Celestial,Streetwise,Engineering Specialist,Sunfire Elf
,Human,Huge,Goblin,Intimidate,Gift of the Naaru,Reaper Aasimar
,Tabaxi,Small,Terran,Athletics,Arcane Resistance,Half-Celestial
,Wood Elf,Small,Gnomish,Athletics,Quickness,Holy Elf
,Human,Small,Giant,Stealth,Frost Resistance,Sunfire Elf
,Mountain Dwarf,Large,Deep Speech,Bluff,Explorer,Half Dragon
,Dragonborn,Huge,Undercommon,Stealth, Expansive Mind, Burly Halfling
,Wood Elf,Medium,Sylvan,Stealth, Expansive Mind,Urban Elf
,Tiefling,Medium,Aquan,Nature,Might of the Mountain,Volcano Dwarf
,Rock Gnome,Medium,Halfling,Athletics,Elusivness,Fey Heritage
,Dark Elf,Tiny,Gnomish,Insight,Frost Resistance,Reaper Aasimar
,Lightfoot Halfling,Medium,Terran,Thievery,Might of the Mountain, Burly Halfling
,Tiefling,Gargantuan,Druidic,Nature, Expansive Mind,Brae Dwarf
,Earth Genasi,Tiny,Elvish,Endurance,Gift of the Naaru,Urban Elf
,Violetken,Huge,Primordial,Streetwise,Draenei, Zombie
,Wood Elf,Small,Orc,Bluff,Draenei,Half-Celestial
,Protector Aasimar,Medium,Sylvan,Endurance,Might of the Mountain,Dragon Child
,Protector Aasimar,Medium,Goblin,Streetwise,Shadow Resistence, Zombie
,Human,Medium,Orc,Diplomacy,Stone Form,Mothra Aasimar
,Human,Gargantuan,Infernal,Athletics,Stone Form,Fey Heritage
,Slime Mimic,Tiny,Gnoll,Stealth,Diplomacy,Elemental Born
,Human,Huge,Draconic,Diplomacy,Diplomacy,Dragon Child
,Tabaxi,Tiny,Undercommon,Insight,Might of the Mountain,Reaper Aasimar
,Ghastly Halfling,Large,Terran,Intimidate,Escape Artist, Zombie
,Violetken,Small,Halfling,Religion,Explorer, Zombie
,High Elf,Huge,Druidic,Insight,Heroic Presence,Arcadian
,Human,Medium,Goblin,Nature,Explorer, Burly Halfling
,Human,Large,Celestial,Arcana, Expansive Mind,Sunfire Elf
,Aarakocra,Gargantuan,Gnoll,Arcana, Shadow Meld,Reaper Aasimar
,Lineage - Baal,Gargantuan,Primordial,Endurance,Engineering Specialist,Elemental Born
,Wood Elf,Gargantuan,Common,Athletics,Gift of the Naaru,Dragon Child
,Human,Huge,Terran,Diplomacy,Nature Resistence,Urban Elf
,Wood Elf,Small,Gnoll,Insight,Escape Artist,Sunfire Elf
,Tortle,Gargantuan,Gnomish,Insight,Frost Resistance,Fey Heritage
,Eladrin DMG,Huge,Goblin,Dungeoneering,Touch of Elune,Urban Elf
,Kenku,Large,Ignan,Athletics,Stone Form,Sunfire Elf
,Dark Elf,Large,Halfling,Dungeoneering,Draenei,Half Dragon
,Protector Aasimar,Huge,Abyssal,Stealth,The Human Spirit,Dragon Child
,Shiya,Gargantuan,Goblin,Stealth, Shadow Meld,Half-Celestial
,Forest Gnome,Gargantuan,Auran,Dungeoneering,Elusivness,Titanborn
,Human,Large,Auran,Heal,Quickness,Firebeard Dwarf
,Human,Gargantuan,Auran,Intimidate,Draenei, Zombie
,Human,Large,Halfling,Diplomacy,Escape Artist,Deep Dwarf
,Minotaur,Small,Infernal,Athletics,Nimble Fingers,Volcano Dwarf
,Human,Gargantuan,Celestial,Arcana,Nature Resistence,Fey Heritage
,Human,Large,Primordial,Nature,Nature Resistence,Brae Dwarf
,Human,Medium,Auran,Religion, Shadow Meld,Half-Celestial
,Tortle,Small,Gnomish,Insight,Might of the Mountain,Mothra Aasimar
,Aarakocra,Large,Aquan,Stealth,Escape Artist,Titanborn
,Wood Elf,Small,Sylvan,Intimidate,Heroic Presence,Dragon Child
,Tabaxi,Huge,Sylvan,Arcana,Heroic Presence,Dragon Elf
,Human,Huge,Sylvan,Dungeoneering,Escape Artist,Reaper Aasimar
,Human,Tiny,Celestial,Diplomacy,Explorer,Sunfire Elf
,Wood Elf,Small,Gnoll,Athletics,Might of the Mountain,Volcano Dwarf
,Human,Gargantuan,Abyssal,Arcana,Diplomacy,Brae Dwarf
,Human,Large,Halfling,Thievery,Wisp Spirit,Crystal Born
,Wood Elf,Medium,Terran,Heal,Draenei,Titanborn
,Wood Elf,Tiny,Ignan,Thievery,Diplomacy,Brae Dwarf
,Hill Dwarf,Small,Undercommon,Heal,Quickness,Mothra Aasimar
,Hill Dwarf,Small,Sylvan,Athletics, Shadow Meld,Dragon Child
,Half-Elf,Large,Auran,Dungeoneering,Diplomacy,Elemental Born
,Hill Dwarf,Large,Goblin,Athletics,Might of the Mountain,Firebeard Dwarf
,Half-elf,Medium,Undercommon,Endurance,Explorer,Brae Dwarf
,Human,Large,Sylvan,Athletics,Quickness,Titanborn
,High Elf,Gargantuan,Halfling,Streetwise,Diplomacy,Deep Dwarf
,Mountain Dwarf,Huge,Auran,Thievery,Frost Resistance,Winger Aasimar
,Lizardfolk,Medium,Celestial,Streetwise,Elusivness,Dragon Child
,Tabaxi,Small,Common,Thievery,Touch of Elune,Half-Celestial
,Dragonborn,Medium,Sylvan,Diplomacy,Draenei,Arcadian
,Tabaxi,Medium,Dravish,Nature,Every Man for Himself,Arcadian
,Tabaxi,Gargantuan,Gnomish,Intimidate,The Human Spirit,Crystal Born
,Wood Elf,Huge,Deep Speech,Religion,Stone Form,Mothra Aasimar
,Tabaxi,Small,Auran,Nature,Diplomacy, Zombie
,Dragonborn,Small,Dravish,Dungeoneering,Heroic Presence,Titanborn
,Firbolg,Tiny,Druidic,Diplomacy,Gift of the Naaru,Urban Elf
,Half-Elf,Medium,Elvish,Dungeoneering,Gift of the Naaru,Firebeard Dwarf
,Half-Elf,Gargantuan,Auran,Endurance,Nature Resistence,Firebeard Dwarf
,Human,Small,Auran,Thievery,Engineering Specialist,Crystal Born
,Forest Gnome,Gargantuan,Gnoll,Heal,Might of the Mountain,Half-Celestial
,Half-Orc,Tiny,Undercommon,Endurance,Shadow Resistence, Zombie
,Dark Elf,Tiny,Abyssal,Arcana,Wisp Spirit,Titanborn
,Fallen Aasimar,Huge,Giant,Diplomacy,Heroic Presence, Zombie
,Human,Huge,Infernal,Arcana,Nature Resistence,Dragon Child
,Half-Orc,Gargantuan,Auran,Religion,Diplomacy,Crystal Born
,Changeling,Large,Ignan,Endurance,Draenei,Fey Heritage
,Wood Elf,Large,Aquan,Nature,Gift of the Naaru,Sunfire Elf
,Wood Elf,Large,Undercommon,Nature,Elusivness,Half-Celestial
,Human,Gargantuan,Abyssal,Nature,Heroic Presence,Firebeard Dwarf
,Dragonborn,Small,Aquan,Diplomacy,Gift of the Naaru,Half Dragon
,Tabaxi,Large,Primordial,Thievery,Arcane Resistance,Crystal Born
,Human,Large,Giant,Bluff,Draenei,Deep Dwarf
,Tiefling,Large,Infernal,Thievery,Quickness,Firebeard Dwarf
,Human,Medium,Common,Bluff,Gift of the Naaru,Brae Dwarf
,Human,Tiny,Sylvan,Athletics,Quickness,Mothra Aasimar
,Serpentblood,Tiny,Auran,Bluff,Nimble Fingers, Burly Halfling
,Serpentblood,Gargantuan,Elvish,Nature,Might of the Mountain,Dragon Child
,Serpentblood,Large,Orc,Endurance,Gem Cutting,Sunfire Elf
,Kenku,Medium,Dravish,Dungeoneering,Frost Resistance,Dragon Elf
,Kenku,Medium,Draconic,Bluff,Diplomacy,Half-Celestial
,Kenku,Medium,Infernal,Thievery,Engineering Specialist,Crystal Born
,Firbolg,Large,Orc,Nature,Elusivness,Brae Dwarf
,Firbolg,Large,Abyssal,Religion,Diplomacy,Half Dragon
,Firbolg,Huge,Terran,Athletics,Nature Resistence,Volcano Dwarf
,Turtle,Huge,Draconic,Diplomacy,Explorer,Holy Elf
,Turtle,Tiny,Aquan,Endurance,Quickness,Mothra Aasimar
,Turtle,Small,Celestial,Stealth,Nature Resistence,Elemental Born
,Tabaxi,Tiny,Auran,Stealth,Nimble Fingers,Half Dragon
,Tabaxi,Small,Halfling,Diplomacy,Wisp Spirit, Zombie
,Tabaxi,Medium,Undercommon,Arcana,Diplomacy,Dragon Elf
,Lightfoot Halfling,Small,Primordial,Nature,The Human Spirit,Volcano Dwarf
,Lightfoot Halfling,Large,Draconic,Arcana,Shadow Resistence,Volcano Dwarf
,Lightfoot Halfling,Huge,Auran,Streetwise,Diplomacy,Half Dragon
,Fallen Aasimar,Tiny,Auran,Diplomacy,Gem Cutting,Mothra Aasimar
,Fallen Aasimar,Gargantuan,Gnoll,Intimidate,The Human Spirit,Reaper Aasimar
,Fallen Aasimar,Huge,Sylvan,Intimidate,Touch of Elune,Deep Dwarf
