"Race_Name","BG_Name","class","Class_Name","subclass","Level","Proficiency","HP","skills","weapons","Spell_Name","Casting_Time","choices","C_Name","PI_ID","PI_Name","Armor_Class","Story","Job","Characteristics","Ability","Training","Eq_Name","Price","Usage","Size","Language","Abilities","Traits","Components","Duration","Speed"
"Human","Noble","Sorcerer 1|Warlock 1","Sorcerer|Warlock","Shadow Magic|The Archfey",2,"Actor",16,"History|Insight|Deception|Intimidation|Persuasion","Dagger|Quarterstaff","Message*0|Minor Illusion*0|Friends*0|Chill Touch*0|Eldritch Blast*0|Mage Hand*0|Disguise Self*1|Charm Person*1|Armour Of Agathys*1|Sleep*1","Cha",NA,"focused_banach",1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Custom","Sorcerer 3","Sorcerer","Wild Magic",3,NA,18,"Arcana|Deception|Intimidation|Persuasion","Dagger|Dagger",NA,"Cha","metamagic/Twinned Spell*Quickened Spell","suspicious_tereshkova",1573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Custom","Rogue 2|Sorcerer 1","Rogue|Sorcerer","|Wild Magic",3,NA,17,"Acrobatics|Sleight of Hand|Stealth|Perception|Survival|Deception","Shortsword|Shortsword|Dagger",NA,"Int","expertise/Stealth*Sleight of Hand","modest_austin",1574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Custom","Bard 3","Bard","College of Glamour",3,NA,18,"Acrobatics|Nature|Insight|Deception|Persuasion","Rapier|Dagger",NA,"Cha","expertise/Persuasion*Insight","compassionate_khorana",1575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghastly Halfling","Urban Bounty Hunter","Rogue 9|Cleric 1","Rogue|Cleric","Arcane Trickster|Order Domain",10,"Second Chance",73,"Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Intimidation|Persuasion","Rapier|Shortbow|Dagger","Command*1|Heroism*1","Int","expertise/Thieves' Tools*Stealth*Persuasion*Deception",NA,1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goliath","Urban Bounty Hunter","Fighter 10","Fighter","Champion",10,"Shield Master",84,"Athletics|Stealth|Perception|Intimidation|Persuasion","Longsword|Crossbow, light",NA,"Int","fighting style/Defense*Dueling",NA,1577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Far Traveler","Rogue 1","Rogue",NA,1,NA,11,"Athletics|Acrobatics|Stealth|Insight|Perception|Deception","Shortsword|Shortbow|Dagger",NA,"Int","expertise/Thieves' Tools*Perception","distracted_chatelet",1578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Centaur","Knight","Druid 1","Druid",NA,1,NA,12,"Arcana|Nature|Survival|Persuasion","Crossbow, light|Light hammer",NA,"Wis",NA,"competent_chatelet",1579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dark Elf","City Watch","Fighter 7","Fighter","Eldritch Knight",7,NA,56,"Athletics|Acrobatics|Insight|Perception|Survival","Longsword|Shortsword|Crossbow, light",NA,"Int","fighting style/Two-Weapon Fighting","sleepy_ritchie",1580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lineage - Meph","Urban Bounty Hunter","Warlock 7","Warlock","The Hexblade",7,NA,43,"Stealth|Investigation|Deception|Intimidation","Crossbow, light|Dagger|Dawndringer",NA,"Cha","pact boon/Pact of the Blade|eldritch invocations/Gaze of Two Minds*Armor of Shadows*One with Shadows*Thirsting Blade","epic_galileo",1581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Urban Bounty Hunter","Rogue 7","Rogue","Arcane Trickster",7,NA,65,"Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Performance","Rapier|Crossbow, light|Torch-Mace",NA,"Int","tiefling variants menu/Winged|expertise/Stealth*Athletics*Sleight of Hand*Acrobatics","gallant_wright",1582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Paladin 6","Paladin","OathBreaker",6,NA,64,"Athletics|Religion|Insight|Intimidation","Battleaxe","Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2","Cha","fighting style/Defense|tiefling variants menu/Winged","flamboyant_mayer",1583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Paladin 20","Paladin","OathBreaker",20,NA,225,"Athletics|Religion|Insight|Intimidation","Battleaxe|Dagger","Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3|Blight*4|Confusion*4|Contagion*5|Dominate Person*5","Cha","fighting style/Defense|tiefling variants menu/Winged","flamboyant_mayer",1584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Paladin 19","Paladin","OathBreaker",19,NA,212,"Athletics|Religion|Insight|Intimidation","Battleaxe|Dagger","Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3|Blight*4|Confusion*4|Contagion*5|Dominate Person*5","Cha","fighting style/Defense|tiefling variants menu/Winged","flamboyant_mayer",1585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Paladin 18","Paladin","OathBreaker",18,NA,202,"Athletics|Religion|Insight|Intimidation","Battleaxe|Dagger","Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3|Blight*4|Confusion*4|Contagion*5|Dominate Person*5","Cha","fighting style/Defense|tiefling variants menu/Winged","flamboyant_mayer",1586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Paladin 17","Paladin","OathBreaker",17,NA,192,"Athletics|Religion|Insight|Intimidation","Battleaxe|Dagger","Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3|Blight*4|Confusion*4|Contagion*5|Dominate Person*5","Cha","fighting style/Defense|tiefling variants menu/Winged","flamboyant_mayer",1587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Paladin 16","Paladin","OathBreaker",16,NA,179,"Athletics|Religion|Insight|Intimidation","Battleaxe|Dagger","Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3|Blight*4|Confusion*4","Cha","fighting style/Defense|tiefling variants menu/Winged","flamboyant_mayer",1588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Paladin 15","Paladin","OathBreaker",15,NA,166,"Athletics|Religion|Insight|Intimidation","Battleaxe|Dagger","Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3|Blight*4|Confusion*4","Cha","fighting style/Defense|tiefling variants menu/Winged","flamboyant_mayer",1589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Paladin 14","Paladin","OathBreaker",14,NA,153,"Athletics|Religion|Insight|Intimidation","Battleaxe|Dagger","Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3|Blight*4|Confusion*4","Cha","fighting style/Defense|tiefling variants menu/Winged","flamboyant_mayer",1590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Paladin 13","Paladin","OathBreaker",13,NA,143,"Athletics|Religion|Insight|Intimidation","Battleaxe|Dagger","Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3|Blight*4|Confusion*4","Cha","fighting style/Defense|tiefling variants menu/Winged","flamboyant_mayer",1591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Paladin 12","Paladin","OathBreaker",12,NA,133,"Athletics|Religion|Insight|Intimidation","Battleaxe|Dagger","Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3","Cha","fighting style/Defense|tiefling variants menu/Winged","flamboyant_mayer",1592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Paladin 11","Paladin","OathBreaker",11,NA,113,"Athletics|Religion|Insight|Intimidation","Battleaxe|Dagger","Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3","Cha","fighting style/Defense|tiefling variants menu/Winged","flamboyant_mayer",1593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lizardfolk","Barbarian Tribe Member","Barbarian 1","Barbarian",NA,1,NA,13,"Athletics|Nature|Perception|Survival|Intimidation","Greataxe|Crossbow, heavy",NA,"Int",NA,"determined_khorana",1594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lizardfolk","Barbarian Tribe Member","Barbarian 1","Barbarian",NA,1,NA,13,"Athletics|Nature|Perception|Survival|Intimidation","Greataxe|Crossbow, heavy",NA,"Int",NA,"determined_khorana",1595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Urban Bounty Hunter","Sorcerer 4","Sorcerer","Draconic Bloodline",4,NA,30,"Stealth|Arcana|Deception|Persuasion","Crossbow, light|Dagger","Fire Bolt*0|Friends*0|Mage Hand*0|Minor Illusion*0|Shocking Grasp*0|Thaumaturgy*0|Burning Hands*1|Shield*1|Hold Person*2|Scorching Ray*2|Web*2|Hellish Rebuke*2","Cha","metamagic/Quickened Spell*Heightened Spell","vigorous_volhard",1596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenku","Sailor","Monk 7","Monk","Way of the Kensei",7,NA,49,"Athletics|Acrobatics|Stealth|History|Insight|Perception","Shortsword|Dart|Unarmed strike",NA,"Int",NA,"youthful_ishizaka",1597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lineage - Levi/Human","Sage","Warlock 5|Paladin 3","Warlock|Paladin","The Hexblade|OathBreaker",8,NA,54,"Arcana|History|Investigation|Perception|Deception","Claws|Longsword|Longsword (2 Handed)","Ray Of Frost (Racial)*0|Eldritch Blast (Warlock)*0|Booming Blade (Warlock)*0|Poison Spray (Warlock)*0|Bless (Paladin)*1|Command (Paladin)*1|Cure Wounds (Paladin)*1|Divine Favor (Paladin)*1|Wrathful Smite (Paladin)*1|Purify Food And Water (Paladin)*1|Armor Of Agathys (Racial)*1|Darkness (Racial)*2|Shield (Warlock)*3|Hellish Rebuke (Warlock)*3|Witch Bolt (Warlock)*3|Counterspell (Warlock)*3|Thunderstep (Warlock)*3|Tongues (Warlock)*3","Cha","eldritch invocations/Improved Pact Weapon*Thirsting Blade|fighting style/Great Weapon Fighting|pact boon/Pact of the Blade","elastic_faraday",1598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Urban Bounty Hunter","Rogue 1","Rogue",NA,1,"Alert",22,"Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception|Intimidation","Shortsword|Shortbow|Dagger",NA,"Int","expertise/Stealth*Perception","heuristic_spence",1599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Smuggler","Fighter 3","Fighter","Eldritch Knight",3,NA,32,"Athletics|Acrobatics|Deception|Intimidation","Longsword|Crossbow, light","Acid Splash. 60 Ft. VS. One Creature Or 2 Within 5 Feet Dex Save Or 1d6+Spell Atk*0|Magic Missile.  Range 120. Component VS. Instant. 3 Darts Deal 1d4+1 Force Damage *1","Int","fighting style/Protection","peaceful_neumann",1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Smuggler","Rogue 3","Rogue","Assassin",3,NA,30,"Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Intimidation","Shortsword|Shortbow|Dagger",NA,"Int","expertise/Thieves' Tools*Perception","sweet_easley",1601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Charlatan","Sorcerer 5","Sorcerer","Draconic Bloodline",5,NA,37,"Sleight of Hand|Arcana|Insight|Deception|Performance|Persuasion","Crossbow, light|Dagger",NA,"Cha","metamagic/Quickened Spell*Empowered Spell","vibrant_banach",1602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill Dwarf","Guild Artisan","Fighter 5","Fighter","Eldritch Knight",5,NA,50,"Insight|Perception|Survival|Persuasion","Battleaxe","True Strike*0|Firebolt*0|Chromatic Orb*1|Witch Bolt*1|Burning Hands*1|Thunderwave*1","Int","fighting style/Great Weapon Fighting","focused_almeida",1603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mountain Dwarf","Outlander","Cleric 7","Cleric","Life Domain",7,"Resilient",52,"Athletics|Insight|Medicine|Survival","Warhammer +1|Javelin|Dagger|Handaxe|Quarterstaff","Guidance*0|Resistance*0|Mending*0|Sacred Flame*0|Bless*1|Cure Wounds*1|Command*1|Guiding Bolt*1|Healing Word*1|Sanctuary*1|Lesser Restoration*2|Spiritual Weapon*2|Blindness/Deafness*2|Hold Person*2|Warding Bond*2|Beacon of Hope*3|Revivify*3|Bestow Curse*3|Dispel Magic*3|Spirit Guardians*3|Death Ward*4|Guardian of Faith*4|Banishment*4","Wis",NA,"tender_pare",1604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill Dwarf","Acolyte","Cleric 2","Cleric","Life Domain",2,NA,22,"History|Religion|Insight|Persuasion","Warhammer|Crossbow, Light|Light Hammer|Battleaxe","Sacred Flame*0|Thaumaturgy*0|Guidance*0|Life Domain: Bless*1|Life Domain: Cure Wounds*1|1 : Inflict Wounds*1|2 : Guided Bolt*1|3 : Command*1|4 : Healing Word (Bonus)*1|5 : Sanctuary (Bonus)*1|6 : Shield Of Faith (Bonus)*1|7 : Bane*1","Wis",NA,"mystifying_northcutt",1605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Urchin","Monk 1","Monk",NA,1,NA,11,"Athletics|Acrobatics|Sleight of Hand|Stealth|Perception","Shortsword|Dart|Unarmed strike",NA,"Int",NA,"agitated_mendeleev",1606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rock Gnome","Cloistered Scholar","Wizard 5","Wizard","School of Divination",5,NA,32,"Arcana|History|Investigation|Medicine","Quarterstaff",NA,"Int",NA,"sad_williamson",1607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Acolyte","Warlock 5","Warlock","The Fiend",5,NA,38,"Religion|Insight|Deception|Intimidation","Crossbow, light|Dagger",NA,"Cha","pact boon/Pact of the Chain|eldritch invocations/Devil's Sight*Agonizing Blast*Voice of the Chain Master","boring_almeida",1608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goliath","Soldier","Paladin 5","Paladin","Oath of Devotion",5,NA,49,"Athletics|Religion|Insight|Intimidation","Greatsword|Javelin","Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2","Cha","fighting style/Defense","awesome_darwin",1609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Firbolg","Hermit","Druid 5","Druid","Circle of the Moon",5,NA,38,"Nature|Religion|Animal Handling|Medicine","Scimitar",NA,"Wis",NA,"relaxed_khorana",1610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Orc","Folk Hero","Barbarian 5","Barbarian","Path of the Totem Warrior",5,NA,60,"Athletics|Nature|Animal Handling|Survival|Intimidation","Greataxe|Handaxe|Javelin",NA,"Int",NA,"romantic_mcnulty",1611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Half-Elf","Entertainer","Bard 5","Bard","College of Lore",5,NA,33,"Acrobatics|Sleight of Hand|History|Insight|Perception|Survival|Deception|Performance|Persuasion","Rapier|Dagger",NA,"Cha","expertise/Persuasion*Performance","brave_rubin",1612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dragonborn","City Watch","Fighter 5","Fighter","Champion",5,NA,49,"Athletics|Insight|Perception|Intimidation","Longsword|Crossbow, light",NA,"Int","fighting style/Dueling","heuristic_ritchie",1613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Outlander","Ranger 5","Ranger","Hunter",5,NA,44,"Athletics|Stealth|Investigation|Animal Handling|Perception|Survival","Shortsword|Longbow",NA,"Wis","fighting style/Archery","wonderful_aryabhata",1614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Entertainer","Monk 5","Monk","Way of the Open Hand",5,NA,38,"Acrobatics|Stealth|Insight|Performance","Quarterstaff|Dart|Unarmed strike",NA,"Int",NA,"cranky_stonebraker",1615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill Dwarf","Acolyte","Cleric 5","Cleric","Life Domain",5,NA,53,"History|Religion|Insight|Medicine","Warhammer|Crossbow, light","Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3","Wis",NA,"eager_montalcini",1616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lightfoot Halfling","Criminal","Rogue 5","Rogue","Thief",5,NA,38,"Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Deception","Rapier|Shortbow|Dagger",NA,"Int","expertise/Thieves' Tools*Stealth","hardcore_ganguly",1617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Knight","Fighter 10","Fighter","Arcane Archer",10,NA,85,"Arcana|History|Nature|Animal Handling|Persuasion","Longbow|Longbow|Shortsword",NA,"Int","arcane shot options/Shadow Arrow*Banishing Arrow*Grasping Arrow*Piercing Arrow|fighting style/Archery","youthful_einstein",1618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiefling","Urban Bounty Hunter","Rogue 6","Rogue","Arcane Trickster",6,NA,54,"Athletics|Acrobatics|Sleight of Hand|Stealth|Insight|Performance","Rapier|Shortbow|Dagger|Crossbow, light|Mace","Einfache Illusion*0|Klingenexplosion*0|Magierhand*0|Verw<fc>nschen*1|Tashas f<fc>rchterlicher Lachanfall*1|Rascher R<fc>ckzug *1|Falsches Leben*1","Int","tiefling variants menu/Winged|expertise/Stealth*Athletics*Sleight of Hand*Acrobatics","gallant_wright",1619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lineage - Meph","Urban Bounty Hunter","Warlock 6","Warlock","The Hexblade",6,NA,36,"Stealth|Investigation|Deception|Intimidation","Crossbow, light|Dagger|Battleaxe","Eldritch Blast*0|Magierr<fc>stung*0|Schockgriff*0|K<e4>lte Hand*0|Brennende H<e4>nde*1|Gestalt Ver<e4>ndern*2|Schweben*2|Furcht*3|Feuerball*3","Cha","pact boon/Pact of the Blade|eldritch invocations/Gaze of Two Minds*Armor of Shadows*One with Shadows","epic_galileo",1620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Soldado","Blood Hunter 7","Blood Hunter","Order of the Ghostslayer",7,"Dual Wielder",69,"Athletics|Acrobatics|Investigation|Insight|Survival|Intimidation","Ballesta Ligera|Cimitarra|Espada Corta",NA,"Int","primal rites/Rite of the Frozen*Rite of the Storm|fighting style/Two-Weapon Fighting|blood curses/Eyeless*Mutual Suffering","focused_tereshkova",1621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hill Dwarf","Acolyte","Cleric 5","Cleric","Tempest Domain",5,"War Caster",43,"Religion|Insight|Medicine|Persuasion","Warhammer|Crossbow, Heavy","Word Of Radiance*0|Spare the Dying*0|Sacred Flame*0|Toll Of The Dead*0|Fog Cloud (c)*1|Thunderwave*1|Bless (c)*1|Ceremony*1|Cure Wounds*1|Guiding Bolt*1|Command*1|Healing Word*1|Sanctuary*1|Bane (c)*1|Gust of Wind (c)*2|Shatter*2|Spirtual Weapon*2|Lesser Restoration*2|Hold Person (c)*2|Prayer Of Healing*2|Call Lightning (c)*3|Sleet Storm (c)*3|Revivify*3|Beacon Of Hope (c)*3|Dispel Magic*3|Magic Circle*3|Mass Healing Word*3|Sending*3|Speak With Dead*3|Spirit Guardians (c)*3|Bestow Curse (c)*3","Wis",NA,"romantic_clarke",1622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenku","Urchin","Rogue 3","Rogue","Arcane Trickster",3,NA,21,"Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception|Performance|Persuasion","Rapier|Shortbow|Dagger","Mage Hand*0|Minor Illusion*0|Booming Blade*0|Find Familiar*1|Tasha's Hideous Laughter*1|Sleep*1","Int","expertise/Stealth*Sleight of Hand","condescending_moore",1623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Variant","Custom","Rogue 3|Fighter 7","Rogue|Fighter","Scout|Champion",10,"Sharpshooter",70,"Acrobatics|Sleight of Hand|Stealth|Arcana|Nature|Insight|Medicine|Perception|Survival|Intimidation","Dagger|Mauser|Broomhandle|Twin-Shotty|Crossbow, light",NA,"Dex","fighting style/Archery|expertise/Stealth*Perception","determined_gauss",1624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mountain Dwarf","Folk Hero","Bard 10","Bard","College of Lore",10,NA,63,"Sleight of Hand|Investigation|Nature|Animal Handling|Survival|Intimidation|Performance|Persuasion","Rapier|Dagger","Message*0|Mage Hand*0|Vicious Mockery*0|Minor Illusion*0|Charm Person*1|Healing Word*1|Tasha's Hideous Laughter*1|Thunderwave*1|Heat Metal*2|Shatter*2|Spiritual Weapon*2|Healing Spirit*2|Bestow Curse*3|Counterspell*3|Haste*3|Greater Invisibility*4|Banishing Smite*5|Mass Cure Wounds*5","Cha","expertise/Persuasion*Performance*Sleight of Hand*Nature","nostalgic_panini",1625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood Elf","Hermit","Monk 10","Monk","Way of the Kensei",10,"Elven Accuracy",80,"Acrobatics|Religion|Medicine|Perception","Spear|Dart|Unarmed strike",NA,"Int",NA,"serene_joliot",1626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stout Halfling","Entertainer","Bard 5","Bard","College of Glamour",5,NA,18,"Acrobatics|Sleight of Hand|Perception|Performance|Persuasion","Club|Dagger","Vicious Mockery*0|Message*0|Charm Person*1|Hideous Laughter*1|Speak With Animals*1|Sleep*1|Enthrall*2|Suggestion*2|Detect Thoughts*2|Fear*3|Speak With Dead*3","Cha","expertise/Performance","elegant_visvesvaraya",1627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stout Halfling","Entertainer","Bard 5","Bard","College of Glamour",5,NA,18,"Acrobatics|Sleight of Hand|Perception|Performance|Persuasion","Club|Dagger","Vicious Mockery*0|Message*0|Charm Person*1|Hideous Laughter*1","Cha","expertise/Performance","elegant_visvesvaraya",1628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghastly Halfling","Soldier","Warlock 14","Warlock","The Hexblade",14,"Second Chance|Squat Nimbleness|Great Weapon Master",140,"Athletics|Acrobatics|History|Deception|Intimidation|Persuasion","Pact GSword Burning Hex|Pact GSword|Pact GSword Chilling Hex|Pact GSword Master","Bane*1|Jump*1|Mage Armor*1|Speak With Dead*3|Bestow Curse*3|Compulsion*4|Confusion*4|Conjure Elemental*5","Cha","eldritch invocations/Burning Hex*Agonizing Blast*Curse Bringer*Chilling Hex*Repelling Blast*Eldritch Spear*Improved Pact Weapon*Relentless Hex*Thirsting Blade*Thief of Five Fates*One With Shadows*Devil's Sight*Superior Pact Weapon*Whispers of the Grave*Beguiling Influence*Otherworldly Leap*Minions of Chaos*Sign of Ill Omen*Lifedrinker*Bewitching Whisper*Dreadful Word*Armor of Shadows|pact boon/Pact of the Blade","amazing_matsumoto",1629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lightfoot Halfling","Sailor","Fighter 14","Fighter","Battle Master",14,"Squat Nimbleness|Great Weapon Master|Second Chance|Medium Armor Master|Mage Slayer",196,"Athletics|Acrobatics|Insight|Perception|Survival","+2 Flametongue|+2 Flametongue GWM|+2 Flametongue SD|+2 Flametongue GWM SD",NA,"Int","combat superiority maneuvers/Riposte*Maneuvering Attack*Commander<U+0092>s Strike*Trip Attack*Pushing Attack*Goading Attack*Distracting Strike|fighting style/Great Weapon Fighting","vibrant_newton",1630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stout Halfling","Entertainer","Bard 1","Bard",NA,1,NA,6,"Acrobatics|Sleight of Hand|Perception|Performance|Persuasion","Club|Dagger","Vicious Mockery*0|Message*0|Charm Person*1|Hideous Laughter*1","Cha",NA,"elegant_visvesvaraya",1631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Human","Urban Bounty Hunter","Ranger 4","Ranger","Gloom Stalker",4,"Skulker",44,"Stealth|Investigation|Insight|Perception|Deception|Persuasion","Shortsword|Longbow","Hunters Mark*1|Cure Wounds*1|Disguise Self*1","Wis","fighting style/Archery","priceless_gould",1632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
